"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","MW1","REM"
"94103099999","2023-02-10T13:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN05894103 47/// ///// 1//// 3//// 4//// 5//// 7//// 333 1////="
"94103099999","2023-02-10T14:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
"94103099999","2023-02-10T15:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
"94103099999","2023-02-10T16:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9","26,1",,"SYN04894103 47/// ///// 1//// 3//// 4//// 5//// 726//="
"94103099999","2023-02-10T17:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
"94103099999","2023-02-10T18:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
"94103099999","2023-02-10T19:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9","26,1",,"SYN04894103 47/// ///// 1//// 3//// 4//// 5//// 726//="
"94103099999","2023-02-10T20:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
"94103099999","2023-02-11T17:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
"94103099999","2023-02-11T18:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
"94103099999","2023-02-11T19:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9","26,1",,"SYN04894103 47/// ///// 1//// 3//// 4//// 5//// 726//="
"94103099999","2023-02-12T13:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN05894103 47/// ///// 1//// 3//// 4//// 5//// 7//// 333 1////="
"94103099999","2023-02-12T21:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
"94103099999","2023-02-13T10:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,"90,1","SYN004BUFR"
"94103099999","2023-02-13T11:00:00","4","-14.1166666","123.5333333","5.0","BROWSE ISLAND AWS, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN03694103 46/// ///// 1//// 3//// 4////="
