"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99770599999","2023-12-12T17:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","040,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0170,1","+9999,9","10267,1",,"5,99,0067,1,999","+208,1","SYN074OPTF1 46/// /0408 10170 40267 91648 222// 00208 333 91213 555 11009 22009="
"99770599999","2023-12-12T18:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","040,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0189,1","+9999,9","10258,1",,"5,99,0046,1,999","+209,1","SYN074OPTF1 46/// /0405 10189 40258 91754 222// 00209 333 91209 555 11005 22005="
"99770599999","2023-12-12T19:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","050,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0204,1","+9999,9","10252,1","6,1,023,1,+999,9","5,99,0062,1,999","+210,1","SYN080OPTF1 46/// /0506 10204 40252 56023 91900 222// 00210 333 91212 555 11006 22007="
"99770599999","2023-12-12T20:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","040,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0207,1","+9999,9","10252,1","6,1,013,1,+999,9","5,99,0082,1,999","+212,1","SYN080OPTF1 46/// /0409 10207 40252 56013 92000 222// 00212 333 91216 555 11009 22010="
"99770599999","2023-12-12T21:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","050,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0207,1","+9999,9","10259,1","3,1,003,1,+999,9","5,99,0072,1,999","+212,1","SYN080OPTF1 46/// /0507 10207 40259 53003 92100 222// 00212 333 91214 555 11007 22008="
"99770599999","2023-12-12T22:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0203,1","+9999,9","10259,1","2,1,007,1,+999,9","5,99,0051,1,999","+213,1","SYN080OPTF1 46/// /0307 10203 40259 52007 92200 222// 00213 333 91210 555 11008 22008="
"99770599999","2023-12-12T23:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0196,1","+9999,9","10264,1",,"5,99,0051,1,999","+214,1","SYN074OPTF1 46/// /0207 10196 40264 92306 222// 00214 333 91210 555 11008 22008="
"99770599999","2023-12-13T00:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0189,1","+9999,9","10270,1","3,1,011,1,+999,9","5,99,0057,1,999","+214,1","SYN080OPTF1 46/// /0209 10189 40270 53011 90000 222// 00214 333 91211 555 11009 22010="
"99770599999","2023-12-13T01:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0182,1","+9999,9","10277,1","3,1,018,1,+999,9","5,99,0067,1,999","+214,1","SYN080OPTF1 46/// /0208 10182 40277 53018 90100 222// 00214 333 91213 555 11009 22010="
"99770599999","2023-12-13T02:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0176,1","+9999,9","10280,1",,"5,99,0072,1,999","+213,1","SYN074OPTF1 46/// /0211 10176 40280 90142 222// 00213 333 91214 555 11011 22012="
"99770599999","2023-12-13T03:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0165,1","+9999,9","10279,1","9,9,009,1,+999,9","5,99,0072,1,999","+213,1","SYN080OPTF1 46/// /0208 10165 40279 50009 90300 222// 00213 333 91214 555 11009 22010="
"99770599999","2023-12-13T04:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","030,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0158,1","+9999,9","10278,1","9,9,000,1,+999,9","5,99,0067,1,999","+213,1","SYN080OPTF1 46/// /0310 10158 40278 50000 90400 222// 00213 333 91213 555 11010 22011="
"99770599999","2023-12-13T05:00:00","4","27.85","-82.55","9.0","OLD PORT TAMPA, FL US","FM-13","99999","V020","020,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0155,1","+9999,9","10271,1",,"5,99,0082,1,999","+212,1","SYN074OPTF1 46/// /0209 10155 40271 90454 222// 00212 333 91216 555 11010 22010="
