"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","KA1","KA2","MA1","MD1","OC1","OD1","REM"
"86897099999","2023-01-01T16:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","134,1,N,0038,1","99999,9,9,9","999999,9,9,9","+0330,1","+0204,1","09378,1","99,9999,9,9","120,M,+0331,1","120,N,+0310,1","99999,9,08982,1","7,1,999,9,+999,9","0082,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-01T17:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","138,1,N,0044,1","99999,9,9,9","999999,9,9,9","+0347,1","+0211,1","09367,1","99,9999,9,9","120,M,+0347,1","120,N,+0326,1","99999,9,08974,1","7,1,999,9,+999,9","0083,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-01T18:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","144,1,N,0033,1","99999,9,9,9","999999,9,9,9","+0336,1","+0203,1","09355,1","99,9999,9,9","120,M,+0347,1","120,N,+0333,1","99999,9,08961,1","7,1,999,9,+999,9","0087,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-01T19:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","146,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0350,1","+0194,1","09346,1","99,9999,9,9","120,M,+0350,1","120,N,+0336,1","99999,9,08954,1","7,1,999,9,+999,9","0070,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-01T20:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","163,1,N,0034,1","99999,9,9,9","999999,9,9,9","+0340,1","+0194,1","09336,1","99,9999,9,9","120,M,+0349,1","120,N,+0338,1","99999,9,08943,1","7,1,999,9,+999,9","0062,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-01T21:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","189,1,N,0035,1","99999,9,9,9","999999,9,9,9","+0317,1","+0201,1","09335,1","99,9999,9,9","120,M,+0340,1","120,N,+0318,1","99999,9,08939,1","7,1,999,9,+999,9","0069,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-01T22:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","188,1,N,0031,1","99999,9,9,9","999999,9,9,9","+0310,1","+0195,1","09338,1","99,9999,9,9","120,M,+0318,1","120,N,+0308,1","99999,9,08941,1","7,1,999,9,+999,9","0061,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-01T23:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","198,1,N,0028,1","99999,9,9,9","999999,9,9,9","+0285,1","+0208,1","09353,1","99,9999,9,9","120,M,+0309,1","120,N,+0285,1","99999,9,08952,1",,"0071,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T00:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","190,1,N,0036,1","99999,9,9,9","999999,9,9,9","+0280,1","+0209,1","99999,9","99,9999,9,9","120,M,+0285,1","120,N,+0278,1","99999,9,08962,1","2,1,999,9,+999,9","0064,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T01:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","162,1,N,0055,1","99999,9,9,9","999999,9,9,9","+0275,1","+0213,1","99999,9","99,9999,9,9","120,M,+0279,1","120,N,+0270,1","99999,9,08967,1","2,1,999,9,+999,9","0089,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T02:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","168,1,N,0030,1","99999,9,9,9","999999,9,9,9","+0252,1","+0210,1","09376,1","99,9999,9,9","120,M,+0275,1","120,N,+0253,1","99999,9,08970,1","2,1,999,9,+999,9","0086,1","3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T03:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","171,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0247,1","+0207,1","09375,1","99,9999,9,9","120,M,+0254,1","120,N,+0245,1","99999,9,08968,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T04:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","171,1,N,0028,1","99999,9,9,9","999999,9,9,9","+0240,1","+0206,1","09369,1","99,9999,9,9","120,M,+0247,1","120,N,+0239,1","99999,9,08962,1",,,"3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T05:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","157,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0240,1","+0204,1","09369,1","99,9999,9,9","120,M,+0241,1","120,N,+0236,1","99999,9,08961,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T06:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","169,1,N,0025,1","99999,9,9,9","999999,9,9,9","+0236,1","+0205,1","09368,1","99,9999,9,9","120,M,+0242,1","120,N,+0236,1","99999,9,08960,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T07:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","181,1,N,0026,1","99999,9,9,9","999999,9,9,9","+0232,1","+0205,1","09365,1","99,9999,9,9","120,M,+0238,1","120,N,+0232,1","99999,9,08957,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T08:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","184,1,N,0033,1","99999,9,9,9","999999,9,9,9","+0232,1","+0202,1","09368,1","99,9999,9,9","120,M,+0233,1","120,N,+0231,1","99999,9,08960,1","7,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T09:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","181,1,N,0027,1","99999,9,9,9","999999,9,9,9","+0231,1","+0196,1","09374,1","99,9999,9,9","120,M,+0233,1","120,N,+0231,1","99999,9,08965,1",,,"3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T10:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","188,1,N,0028,1","99999,9,9,9","999999,9,9,9","+0237,1","+0201,1","09377,1","99,9999,9,9","120,M,+0237,1","120,N,+0230,1","99999,9,08969,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"86897099999","2023-01-02T11:00:00","4","-23.3902778","-53.6597222","386.5","ICARAIMA, BR","FM-14","99999","V020","181,1,N,0035,1","99999,9,9,9","999999,9,9,9","+0242,1","+0208,1","09375,1","99,9999,9,9","120,M,+0243,1","120,N,+0237,1","99999,9,08968,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
