"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OC1","OD1","OD2","OD3","REM","EQD"
"06331099999","2023-01-01T18:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","160,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0110,1,999","4,99,0080,1,999","5,99,0080,1,999","SYN05606331 46/// /1607 333 91008 91111 91208 555 51109 51208=",
"06331099999","2023-01-01T19:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","160,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0090,1,999","5,99,0080,1,999","SYN04006331 46/// /1607 333 91009 91109 91208=",
"06331099999","2023-01-01T20:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","170,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0100,1,999","4,99,0090,1,999","5,99,0080,1,999","SYN04006331 46/// /1707 333 91009 91110 91208=",
"06331099999","2023-01-01T21:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","160,1,N,0050,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0100,1,999","4,99,0060,1,999","5,99,0080,1,999","SYN05606331 46/// /1605 333 91006 91110 91208 555 51109 51207=",
"06331099999","2023-01-01T22:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","180,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0100,1,999","4,99,0090,1,999","5,99,0080,1,999","SYN04006331 46/// /1807 333 91009 91110 91208=",
"06331099999","2023-01-01T23:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","180,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0070,1,999","5,99,0070,1,999","SYN04006331 46/// /1807 333 91007 91109 91207=",
"06331099999","2023-01-02T00:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","180,1,N,0060,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0100,1,999","4,99,0070,1,999","5,99,0080,1,999","SYN05606331 46/// /1806 333 91007 91110 91208 555 51108 51207=",
"06331099999","2023-01-02T01:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","180,1,N,0070,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0090,1,999","4,99,0090,1,999","5,99,0070,1,999","SYN04006331 46/// /1807 333 91009 91109 91207=",
"06331099999","2023-01-02T02:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","190,1,N,0090,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0110,1,999","4,99,0110,1,999","5,99,0090,1,999","SYN04006331 46/// /1909 333 91011 91111 91209=",
"06331099999","2023-01-02T03:00:00","4","51.4833333","4.2","0.0","MAROLLEGAT, NL","FM-12","99999","V020","200,1,N,0100,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","99999,9",,"3,99,0130,1,999","4,99,0110,1,999","5,99,0100,1,999","SYN05606331 46/// /2010 333 91011 91113 91210 555 51113 51210=",
