"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"47707099999","2023-01-01T00:00:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-15","99999","V020","210,1,N,0041,1","01219,1,C,N","009999,1,9,9","+0050,1","+0030,1","99999,9","02,1,+00610,1,99,9","04,1,+01219,1,99,9","07,1,+01829,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10230,1,99999,9","80,1",,,"MET102METAR RJNT 010000Z 21008KT 9999 -SHRA FEW020 SCT040 BKN060 05/03 Q1023 RMK 1CU020 3SC040 5SC060 A3022=",
"47707099999","2023-01-01T01:00:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-15","99999","V020","170,1,V,0026,1","01829,1,C,N","009999,1,9,9","+0060,1","+0020,1","99999,9","02,1,+00610,1,99,9","04,1,+01829,1,99,9","07,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10230,1,99999,9",,,,"MET104METAR RJNT 010100Z 17005KT 070V220 9999 FEW020 SCT060 BKN080 06/02 Q1023 RMK 1CU020 3SC060 5AC080 A3021=",
"47707099999","2023-01-01T02:00:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-15","99999","V020","170,1,V,0021,1","01219,1,C,N","009999,1,9,9","+0080,1","+0010,1","99999,9","02,1,+00610,1,99,9","04,1,+01219,1,99,9","07,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10220,1,99999,9","16,1",,,"MET109METAR RJNT 010200Z 17004KT 100V210 9999 VCSH FEW020 SCT040 BKN050 08/01 Q1022 RMK 1CU020 3SC040 5SC050 A3018=",
"47707099999","2023-01-01T03:00:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-15","99999","V020","210,1,V,0031,1","01219,1,C,N","009999,1,9,9","+0080,1","+0020,1","99999,9","02,1,+00914,1,99,9","04,1,+01219,1,99,9","07,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00914,1,99,9,99,9","10210,1,99999,9","16,1",,"0082,1","MET081METAR RJNT 010300Z 21006G16KT 120V280 9999 VCSH FEW030 SCT040 BKN050 08/02 Q1021=",
"47707099999","2023-01-01T04:00:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-15","99999","V020","240,1,V,0021,1","01219,1,9,N","009999,1,9,9","+0080,1","+0020,1","99999,9","02,1,+00610,1,99,9","07,1,+01219,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10210,1,99999,9","80,1",,,"MET096METAR RJNT 010400Z 24004KT 190V280 9999 -SHRA FEW020 BKN040 08/02 Q1021 RMK 1CU020 7SC040 A3015=",
"47707099999","2023-01-01T05:00:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-15","99999","V020","220,1,N,0041,1","01219,1,C,N","009999,1,9,9","+0100,1","+0020,1","99999,9","02,1,+00610,1,99,9","04,1,+01219,1,99,9","07,1,+01524,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10200,1,99999,9","80,1",,,"MET102METAR RJNT 010500Z 22008KT 9999 -SHRA FEW020 SCT040 BKN050 10/02 Q1020 RMK 1CU020 4SC040 6SC050 A3013=",
"47707099999","2023-01-01T05:32:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-16","99999","V020","280,1,V,0051,1","00914,1,C,N","009999,1,9,9","+0080,1","+0020,1","99999,9","02,1,+00610,1,99,9","04,1,+00914,1,99,9","07,1,+01372,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10200,1,99999,9","80,1",,,"MET110SPECI RJNT 010532Z 28010KT 260V330 9999 -SHRA FEW020 SCT030 BKN045 08/02 Q1020 RMK 1CU020 3CU030 6SC045 A3015=",
"47707099999","2023-01-01T06:00:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-15","99999","V020","270,1,N,0057,1","00762,1,9,N","008000,1,9,9","+0060,1","+0040,1","99999,9","02,1,+00305,1,99,9","07,1,+00762,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10210,1,99999,9","80,1",,,"MET088METAR RJNT 010600Z 27011KT 8000 -SHRA FEW010 BKN025 06/04 Q1021 RMK 1CU010 7CU025 A3016=",
"47707099999","2023-01-01T06:28:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-16","99999","V020","210,1,N,0036,1","00914,1,C,N","009999,1,9,9","+0070,1","+0040,1","99999,9","02,1,+00213,1,99,9","04,1,+00914,1,99,9","07,1,+02134,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00213,1,99,9,99,9","10200,1,99999,9","80,1",,,"MET102SPECI RJNT 010628Z 21007KT 9999 -SHRA FEW007 SCT030 BKN070 07/04 Q1020 RMK 1CU007 3CU030 5AC070 A3014=",
"47707099999","2023-01-01T07:00:00","4","36.648333","137.1875","28.95","TOYAMA, JA","FM-15","99999","V020","220,1,V,0015,1","01372,1,9,N","009999,1,9,9","+0070,1","+0030,1","99999,9","02,1,+00305,1,99,9","07,1,+01372,1,99,9","07,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00305,1,99,9,99,9","10200,1,99999,9","80,1",,,"MET110METAR RJNT 010700Z 22003KT 150V260 9999 -SHRA FEW010 BKN045 BKN100 07/03 Q1020 RMK 1CU010 6SC045 7AC100 A3014=",
