"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","GA1","GA2","GA3","GE1","GF1","MA1","OC1","REM"
"83231599999","2023-01-01T10:01:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-16","99999","V020","110,1,V,0015,1","00427,1,9,N","009999,1,9,9","+0210,1","+0200,1","99999,9","61,1",,"02,1,+00335,1,99,9","07,1,+00427,1,99,9","08,1,+00518,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00335,1,99,9,99,9","10180,1,99999,9",,"MET082SPECI SBLE 011001Z AUTO 11003KT 060V190 9999 -RA FEW011 BKN014 OVC017 21/20 Q1018="
"83231599999","2023-01-01T10:03:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-16","99999","V020","090,1,V,0015,1","00427,1,9,N","009000,1,9,9","+0200,1","+0200,1","99999,9","62,1",,"02,1,+00152,1,99,9","08,1,+00427,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10180,1,99999,9",,"MET074SPECI SBLE 011003Z AUTO 09003KT 060V160 9000 RA FEW005 OVC014 20/20 Q1018="
"83231599999","2023-01-01T11:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0010,1","00488,1,9,N","009999,1,9,9","+0210,1","+0200,1","99999,9","61,1",,"04,1,+00274,1,99,9","07,1,+00488,1,99,9","07,1,+00701,1,99,9","9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00274,1,99,9,99,9","10180,1,99999,9",,"MET079METAR SBLE 011100Z AUTO VRB02KT 9999 -RA SCT009 BKN016 BKN023 21/20 Q1018 RERA="
"83231599999","2023-01-01T11:03:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-16","99999","V020","999,9,V,0010,1","00305,1,C,N","009999,1,9,9","+0220,1","+0210,1","99999,9","61,1",,"07,1,+00305,1,99,9","07,1,+00488,1,99,9","07,1,+00671,1,99,9","9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00305,1,99,9,99,9","10180,1,99999,9",,"MET074SPECI SBLE 011103Z AUTO VRB02KT 9999 -RA BKN010 BKN016 BKN022 22/21 Q1018="
"83231599999","2023-01-01T12:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","140,1,N,0036,1","00792,1,9,N","008000,1,9,9","+0210,1","+0210,1","99999,9","61,1",,"02,1,+00183,1,99,9","07,1,+00792,1,99,9","08,1,+01158,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00183,1,99,9,99,9","10180,1,99999,9",,"MET074METAR SBLE 011200Z AUTO 14007KT 8000 -RA FEW006 BKN026 OVC038 21/21 Q1018="
"83231599999","2023-01-01T13:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","150,1,V,0026,1","00518,1,C,N","009999,1,9,9","+0240,1","+0210,1","99999,9",,,"02,1,+00396,1,99,9","04,1,+00518,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00396,1,99,9,99,9","10180,1,99999,9",,"MET071METAR SBLE 011300Z AUTO 15005KT 120V200 9999 FEW013 SCT017 24/21 Q1018="
"83231599999","2023-01-01T14:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","150,1,V,0015,1","01250,1,C,N","009999,1,9,9","+0260,1","+0210,1","99999,9",,,"02,1,+00671,1,99,9","04,1,+01250,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00671,1,99,9,99,9","10170,1,99999,9",,"MET071METAR SBLE 011400Z AUTO 15003KT 060V230 9999 FEW022 SCT041 26/21 Q1017="
"83231599999","2023-01-01T15:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0021,1","99999,9,9,N","009999,1,9,9","+0270,1","+0200,1","99999,9",,,"02,1,+01006,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01006,1,99,9,99,9","10160,1,99999,9",,"MET056METAR SBLE 011500Z AUTO VRB04KT 9999 FEW033 27/20 Q1016="
"83231599999","2023-01-01T16:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0031,1","01097,1,C,N","009999,1,9,9","+0280,1","+0210,1","99999,9",,,"07,1,+01097,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01097,1,99,9,99,9","10150,1,99999,9",,"MET056METAR SBLE 011600Z AUTO VRB06KT 9999 BKN036 28/21 Q1015="
"83231599999","2023-01-01T17:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","180,1,V,0031,1","99999,9,9,N","009999,1,9,9","+0290,1","+0210,1","99999,9",,,"02,1,+01250,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01250,1,99,9,99,9","10150,1,99999,9",,"MET064METAR SBLE 011700Z AUTO 18006KT 130V240 9999 FEW041 29/21 Q1015="
"83231599999","2023-01-01T18:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","170,1,V,0031,1","99999,9,9,N","009999,1,9,9","+0290,1","+0210,1","99999,9",,,"04,1,+01463,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01463,1,99,9,99,9","10140,1,99999,9",,"MET064METAR SBLE 011800Z AUTO 17006KT 130V230 9999 SCT048 29/21 Q1014="
"83231599999","2023-01-01T19:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","100,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0290,1","+0180,1","99999,9",,,,,,,,"10130,1,99999,9",,"MET050METAR SBLE 011900Z AUTO 10005KT CAVOK 29/18 Q1013="
"83231599999","2023-01-01T20:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","120,1,V,0031,1","99999,9,9,Y","009900,5,9,9","+0290,1","+0170,1","99999,9",,,,,,,,"10130,1,99999,9",,"MET058METAR SBLE 012000Z AUTO 12006KT 080V150 CAVOK 29/17 Q1013="
"83231599999","2023-01-01T21:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","090,1,N,0015,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0190,1","99999,9",,,,,,,,"10140,1,99999,9",,"MET050METAR SBLE 012100Z AUTO 09003KT CAVOK 27/19 Q1014="
"83231599999","2023-01-01T22:00:00","4","-12.482289","-41.276969","510.84","CHAPADA DIAMANTINA, BR","FM-15","99999","V020","999,9,V,0010,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0200,1","99999,9",,,,,,,,"10140,1,99999,9",,"MET050METAR SBLE 012200Z AUTO VRB02KT CAVOK 25/20 Q1014="
