"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99404399999","2023-01-01T00:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","070,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0265,1","+9999,9","10169,1",,"5,99,0062,1,999","+272,1","SYN074SJNP4 46/// /0710 10265 40169 92336 222// 00272 333 91212 555 11011 22012="
"99404399999","2023-01-01T01:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","080,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0265,1","+9999,9","10173,1",,"5,99,0062,1,999","+271,1","SYN074SJNP4 46/// /0810 10265 40173 90054 222// 00271 333 91212 555 11010 22011="
"99404399999","2023-01-01T02:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","070,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0263,1","+9999,9","10174,1",,"5,99,0072,1,999","+271,1","SYN074SJNP4 46/// /0712 10263 40174 90136 222// 00271 333 91214 555 11013 22014="
"99404399999","2023-01-01T03:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","060,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0261,1","+9999,9","10172,1","9,9,000,1,+999,9","5,99,0077,1,999","+271,1","SYN080SJNP4 46/// /0612 10261 40172 50000 90300 222// 00271 333 91215 555 11013 22014="
"99404399999","2023-01-01T04:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","110,1,N,0041,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10167,1","8,1,006,1,+999,9","5,99,0062,1,999","+270,1","SYN080SJNP4 46/// /1108 1//// 40167 58006 90400 222// 00270 333 91212 555 11009 22009="
"99404399999","2023-01-01T05:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","150,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0247,1","+9999,9","10163,1","8,1,012,1,+999,9","5,99,0026,1,999","+271,1","SYN080SJNP4 46/// /1504 10247 40163 58012 90500 222// 00271 333 91205 555 11004 22005="
"99404399999","2023-01-01T06:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","210,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0240,1","+9999,9","10157,1","8,1,015,1,+999,9","5,99,0021,1,999","+270,1","SYN080SJNP4 46/// /2104 10240 40157 58015 90600 222// 00270 333 91204 555 11004 22005="
"99404399999","2023-01-01T07:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","170,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0240,1","+9999,9","10152,1","8,1,015,1,+999,9","5,99,0026,1,999","+270,1","SYN080SJNP4 46/// /1703 10240 40152 58015 90700 222// 00270 333 91205 555 11004 22004="
"99404399999","2023-01-01T08:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","130,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0240,1","+9999,9","10151,1","6,1,012,1,+999,9","5,99,0046,1,999","+270,1","SYN080SJNP4 46/// /1307 10240 40151 56012 90800 222// 00270 333 91209 555 11007 22008="
"99404399999","2023-01-01T09:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","110,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0239,1","+9999,9","10152,1","6,1,005,1,+999,9","5,99,0031,1,999","+269,1","SYN080SJNP4 46/// /1105 10239 40152 56005 90900 222// 00269 333 91206 555 11005 22006="
"99404399999","2023-01-01T10:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","110,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0240,1","+9999,9","10155,1","3,1,003,1,+999,9","5,99,0041,1,999","+269,1","SYN080SJNP4 46/// /1106 10240 40155 53003 91000 222// 00269 333 91208 555 11006 22007="
"99404399999","2023-01-01T11:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","150,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0239,1","+9999,9","10161,1","3,1,010,1,+999,9","5,99,0026,1,999","+270,1","SYN080SJNP4 46/// /1503 10239 40161 53010 91100 222// 00270 333 91205 555 11004 22004="
"99404399999","2023-01-01T12:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","130,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0249,1","+9999,9","10168,1","3,1,016,1,+999,9","5,99,0015,1,999","+269,1","SYN080SJNP4 46/// /1302 10249 40168 53016 91200 222// 00269 333 91203 555 11002 22002="
"99404399999","2023-01-01T13:00:00","4","18.47","-66.12","5.0","SAN JUAN, RQ","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0260,1","+9999,9","10175,1","3,1,020,1,+999,9","5,99,0010,1,999","+269,1","SYN080SJNP4 46/// /0000 10260 40175 53020 91300 222// 00269 333 91202 555 11001 22001="
