"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GE1","GF1","KA1","MW1","REM","EQD"
"67979099999","2023-01-23T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","120,1,N,0026,1","22000,1,9,N","030000,1,9,9","+0296,1","+0168,1","99999,9",,,,"04,1,+02700,1,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,02700,1,99,9,99,9",,,"SYN06467979 42980 41205 10296 20168 38/// 48/// 84032 333 5//// 84359=",
"67979099999","2023-01-25T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","150,1,N,0021,1","22000,1,9,N","030000,1,9,9","+0290,1","+0183,1","99999,9",,,,"04,1,+01260,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,01260,1,99,9,99,9",,,"SYN06467979 42680 41504 10290 20183 3//// 48/// 84530 333 5//// 84642=",
"67979099999","2023-01-26T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","150,1,N,0021,1","01050,1,C,N","030000,1,9,9","+0268,1","+0191,1","99999,9",,,,"05,1,+01050,1,06,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,01050,1,99,9,99,9",,,"SYN06467979 42680 51504 10268 20191 3//// 48/// 85500 333 5//// 85635=",
"67979099999","2023-01-26T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","120,1,N,0015,1","22000,1,9,N","030000,1,9,9","+0292,1","+0160,1","99999,9",,,,"03,1,+01470,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,01470,1,99,9,99,9",,,"SYN06467979 42680 31203 10292 20160 3//// 48/// 83530 333 5//// 83649=",
"67979099999","2023-01-27T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","100,1,N,0021,1","01110,1,C,N","030000,1,9,9","+0272,1","+0189,1","99999,9",,,,"05,1,+01110,1,06,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,01110,1,99,9,99,9",,,"SYN06467979 42680 51004 10272 20189 3//// 48/// 85500 333 5//// 85637=",
"67979099999","2023-01-30T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0021,1","01140,1,C,N","030000,1,9,9","+0277,1","+0184,1","99999,9",,,,"06,1,+01140,1,06,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,01140,1,99,9,99,9",,,"SYN06467979 42680 61304 10277 20184 3//// 48/// 86501 333 5//// 86638=",
"67979099999","2023-01-30T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","090,1,N,0026,1","22000,1,9,N","030000,1,9,9","+0308,1","+0160,1","99999,9",,,,"04,1,+01440,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,01440,1,99,9,99,9",,,"SYN06467979 43680 40905 10308 20160 3//// 48/// 84530 333 5//// 84648=",
"67979099999","2023-02-01T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","120,1,N,0015,1","22000,1,9,N","030000,1,9,9","+0310,1","+0181,1","99999,9",,,,"04,1,+01080,1,08,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,01080,1,99,9,99,9",,,"SYN06467979 42680 41203 10310 20181 38/// 48/// 84130 333 5//// 84836=",
"67979099999","2023-02-02T09:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","060,1,N,0010,1","22000,1,9,N","030000,1,9,9","+0296,1","+0217,1","99999,9",,,,"03,1,+00900,1,08,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00900,1,99,9,99,9",,,"SYN06467979 42680 30602 10296 20217 38/// 48/// 83100 333 5//// 83830=",
"67979099999","2023-02-02T15:00:00","4","-20.3333333","31.4666666","770.0","ZAKA, ZI","FM-12","99999","V020","130,1,N,0015,1","02700,1,C,N","030000,1,9,9","+0301,1","+0175,1","99999,9",,,,"05,1,+02700,1,03,1",,,"9,AGL   ,+99999,+99999","05,99,1,05,1,99,9,02700,1,99,9,99,9",,,"SYN06467979 42980 51303 10301 20175 38/// 48/// 85030 333 5//// 85359=",
