"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","REM"
"71839099999","2023-01-01T19:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0020,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-01T20:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0027,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-01T21:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0034,1","+9999,9","99999,9","03,9999,9,9",,"SYN03471839 46/// ///// 10034 333 6///7="
"71839099999","2023-01-01T22:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0026,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-01T23:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0007,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T00:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0002,1","+9999,9","99999,9","06,9999,1,9","24,9999,1,9","SYN04071839 46/// ///// 11002 6///1 333 7////="
"71839099999","2023-01-02T01:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0031,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T02:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0045,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T03:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0038,1","+9999,9","99999,9","03,9999,9,9",,"SYN03471839 46/// ///// 11038 333 6///7="
"71839099999","2023-01-02T04:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0048,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T05:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0049,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T06:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0050,1","+9999,9","99999,9","06,9999,1,9","24,9999,1,9","SYN04071839 46/// ///// 11050 6///1 333 7////="
"71839099999","2023-01-02T07:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0051,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T08:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0051,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T09:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0028,1","+9999,9","99999,9","03,9999,9,9",,"SYN03471839 46/// ///// 11028 333 6///7="
"71839099999","2023-01-02T10:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0028,1","+9999,9","99999,9",,,"SYN004BUFR"
"71839099999","2023-01-02T11:00:00","4","49.3","-113.3666666","1115.0","BULLHORN COULEE RESEVOIR, CA","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","-0037,1","+9999,9","99999,9",,,"SYN004BUFR"
