"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GF1","MW1","REM","EQD"
"94521099999","2023-01-19T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","090,1,N,0036,1","22000,1,9,N","050000,1,9,9","+0290,1","+0181,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","02,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 20907 10290 20181 60004 70311 333 70000=",
"94521099999","2023-01-20T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","050000,1,9,9","+0245,1","+0162,1","99999,9","24,0150,3,1",,"6,1,02,1","2,1,02,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 60504 10245 20162 60154 70362 333 70150=",
"94521099999","2023-01-22T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","340,1,N,0051,1","99999,9,9,N","050000,1,9,9","+0265,1","+0205,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 73410 10265 20205 60004 70311 333 70000=",
"94521099999","2023-01-23T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","360,1,N,0010,1","22000,1,9,N","050000,1,9,9","+0285,1","+0210,1","99999,9","24,0080,3,2","24,0084,3,2","9,1,02,1","1,1,02,1","04,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 43602 10285 20210 60084 70391 333 70084=",
"94521099999","2023-01-24T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","320,1,N,0021,1","99999,9,9,N","050000,1,9,9","+0250,1","+0212,1","99999,9","24,0170,3,2","24,0172,3,2","9,1,02,1","2,1,02,1","05,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 53204 10250 20212 60174 70392 333 70172=",
"94521099999","2023-01-26T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","020,1,N,0051,1","99999,9,9,N","005000,1,9,9","+0255,1","+0193,1","99999,9","00,0080,3,1","24,9999,1,9","6,1,02,1","2,1,02,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/50 80210 10255 20193 60080 70362 333 7////=",
"94521099999","2023-01-27T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","050,1,N,0021,1","99999,9,9,N","050000,1,9,9","+0240,1","+0185,1","99999,9","24,0006,3,1",,"6,1,02,1","0,1,02,1",,"02,1","SYN05294521 01984 00504 10240 20185 69964 70260 333 70006=",
"94521099999","2023-01-28T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","070,1,N,0010,1","22000,1,9,N","050000,1,9,9","+0239,1","+0186,1","99999,9","24,0000,9,1",,"0,1,02,1","0,1,02,1","01,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 10702 10239 20186 60004 70300 333 70000=",
"94521099999","2023-01-29T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","340,1,N,0129,1","99999,9,9,N","050000,1,9,9","+0295,1","+0191,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 63425 10295 20191 60004 70311 333 70000=",
"94521099999","2023-01-30T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","340,1,N,0041,1","99999,9,9,N","005000,1,9,9","+0255,1","+0226,1","99999,9","24,0020,3,2","24,0015,3,2","5,1,02,1","2,1,02,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","50,1","SYN05294521 01/50 83408 10255 20226 60024 75052 333 70015=",
"94521099999","2023-01-31T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","230,1,N,0041,1","22000,1,9,N","050000,1,9,9","+0290,1","+0224,1","99999,9","24,0030,3,2","24,0032,3,2","9,1,02,1","1,1,02,1","03,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 32308 10290 20224 60034 70391 333 70032=",
"94521099999","2023-02-01T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","050000,1,9,9","+0300,1","+0175,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","03,1","SYN05294521 01/84 60902 10300 20175 60004 70311 333 70000=",
"94521099999","2023-02-02T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","250,1,N,0036,1","22000,1,9,N","050000,1,9,9","+0300,1","+0145,1","99999,9","24,0000,9,1",,"1,1,02,1","1,1,02,1","01,99,1,99,9,99,9,99999,9,99,9,99,9","01,1","SYN05294521 01/84 12507 10300 20145 60004 70111 333 70000=",
"94521099999","2023-02-04T23:00:00","4","-27.15","149.0666666","246.0","SURAT, AS","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","050000,1,9,9","+0270,1","+0029,1","99999,9","24,0000,9,1",,"0,1,02,1","0,1,02,1",,"02,1","SYN05294521 01/84 /1602 10270 20029 60004 70200 333 70000=",
