"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"12960099999","2023-01-01T18:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0063,1","+0054,1","10285,1",,,"120,M,+0171,1",,"99999,9,10145,1","2,1,008,1,+999,9",,,"SYN06812960 36/// /0000 10063 20054 30145 40285 52008 333 10171 555 10094=",
"12960099999","2023-01-01T19:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0083,1","+0074,1","10282,1",,,,,"99999,9,10143,1","9,9,003,1,+999,9",,,"SYN05812960 46/// /1401 10083 20074 30143 40282 50003 555 10094=",
"12960099999","2023-01-01T20:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0099,1","+0077,1","10283,1",,,,,"99999,9,10145,1","2,1,003,1,+999,9",,,"SYN05812960 46/// /1801 10099 20077 30145 40283 52003 555 10086=",
"12960099999","2023-01-01T21:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","180,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0092,1","+0072,1","10285,1",,,,,"99999,9,10147,1","3,1,002,1,+999,9",,,"SYN05812960 46/// /1801 10092 20072 30147 40285 53002 555 10087=",
"12960099999","2023-01-01T22:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","170,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0076,1","+0059,1","10284,1",,,,,"99999,9,10145,1","9,9,002,1,+999,9",,,"SYN05812960 46/// /1701 10076 20059 30145 40284 50002 555 10089=",
"12960099999","2023-01-01T23:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0052,1","+0045,1","10284,1",,,,,"99999,9,10144,1","8,1,001,1,+999,9",,,"SYN05812960 46/// /1601 10052 20045 30144 40284 58001 555 10095=",
"12960099999","2023-01-02T00:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0047,1","+0041,1","10282,1",,,,,"99999,9,10141,1","7,1,006,1,+999,9",,,"SYN05812960 36/// /1601 10047 20041 30141 40282 57006 555 10096=",
"12960099999","2023-01-02T01:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","120,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0037,1","+0033,1","10278,1",,,,,"99999,9,10137,1","8,1,008,1,+999,9",,,"SYN05812960 46/// /1201 10037 20033 30137 40278 58008 555 10097=",
"12960099999","2023-01-02T02:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","150,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0038,1","+0035,1","10277,1",,,,,"99999,9,10136,1","7,1,008,1,+999,9",,,"SYN05812960 46/// /1501 10038 20035 30136 40277 57008 555 10098=",
"12960099999","2023-01-02T03:00:00","4","46.1833333","19.0166666","113.0","BAJA, HU","FM-12","99999","V020","170,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0057,1","+0056,1","10272,1",,,,,"99999,9,10132,1","7,1,009,1,+999,9",,,"SYN05812960 46/// /1702 10057 20056 30132 40272 57009 555 10099=",
