"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AJ1","AL1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","IA2","KA1","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"17070099999","2023-01-02T07:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","-0029,1","-0041,1","10360,1",,,,,,,,,,,,,,,,,"99999,9,09448,1","2,1,004,1,+999,9",,,,"SYN04817070 42965 00000 11029 21041 39448 40360 52004=",
"17070099999","2023-01-02T08:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","120,1,N,0005,1","99999,9,9,N","015000,1,9,9","-0003,1","-0036,1","10356,1",,,,,,,,,,,,,,,,,"99999,9,09448,1","2,1,002,1,+999,9",,,,"SYN04817070 42965 01201 11003 21036 39448 40356 52002=",
"17070099999","2023-01-02T09:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0032,1","-0020,1","10341,1",,,,,,,,,,,,,,,,,"99999,9,09439,1","8,1,007,1,+999,9",,,"3,99,0010,1,999","SYN05817070 42965 00000 10032 21020 39439 40341 58007 333 91102=",
"17070099999","2023-01-02T10:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0053,1","-0032,1","10332,1",,,,,,,,,,,,,,,,,"99999,9,09432,1","8,1,016,1,+999,9",,,,"SYN04817070 42965 00000 10053 21032 39432 40332 58016=",
"17070099999","2023-01-02T11:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0076,1","-0013,1","10320,1",,,,,,,,,,,,,,,,,"99999,9,09425,1","7,1,023,1,+999,9",,,,"SYN04817070 42965 00000 10076 21013 39425 40320 57023=",
"17070099999","2023-01-02T12:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0103,1","-0031,1","10308,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09417,1","7,1,022,1,+999,9",,,"3,99,0010,1,999","SYN06417070 12965 00000 10103 21031 39417 40308 57022 60001 333 91102=",
"17070099999","2023-01-02T13:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0097,1","-0026,1","10306,1",,,,,,,,,,,,,,,,,"99999,9,09414,1","7,1,018,1,+999,9",,,,"SYN04817070 42965 00000 10097 21026 39414 40306 57018=",
"17070099999","2023-01-02T14:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0092,1","-0018,1","10307,1",,,,,,,,,,,,,,,,,"99999,9,09413,1","7,1,012,1,+999,9",,,,"SYN04817070 42965 00000 10092 21018 39413 40307 57012=",
"17070099999","2023-01-02T15:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0072,1","-0022,1","10315,1",,,,,,,,,,,,,,,,,"99999,9,09416,1","5,1,001,1,+999,9",,,,"SYN04817070 42965 00000 10072 21022 39416 40315 55001=",
"17070099999","2023-01-02T16:00:00","4","40.7333333","31.6","743.0","BOLU, TU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","015000,1,9,9","+0048,1","-0009,1","10321,1",,,,,,,,,,,,,,,,,"99999,9,09418,1","3,1,004,1,+999,9",,,,"SYN04817070 42965 00000 10048 21009 39418 40321 53004=",
