"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM"
"40712799999","2023-02-26T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","005000,1,9,9","+0130,1","+0100,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","10,1","MET057METAR OIAD 260200Z 00000KT 5000 BR NSC 13/10 Q1018 A3007="
"40712799999","2023-02-26T03:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","03048,1,C,N","005000,1,9,9","+0130,1","+0090,1","99999,9","02,1,+01219,1,99,9","04,1,+03048,1,99,9","07,1,+05182,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10180,1,99999,9","05,1","MET074METAR OIAD 260300Z 00000KT 5000 HZ FEW040 SCT100 BKN170 13/09 Q1018 A3008="
"40712799999","2023-02-26T04:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","330,1,N,0021,1","22000,1,9,N","006000,1,9,9","+0140,1","+0080,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10070,2,99999,9",,"MET068METAR OIAD 260400Z 33004KT 6000 NSC 14/08 Q1007 A3009 FEW100 BKN170="
"40712799999","2023-02-28T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","007000,1,9,9","+0110,1","+0090,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,"MET054METAR OIAD 280200Z 00000KT 7000 NSC 11/09 Q1019 A3012="
"40712799999","2023-03-05T03:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","005000,1,9,9","+0110,1","+0080,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","10,1","MET057METAR OIAD 050300Z 00000KT 5000 BR NSC 11/08 Q1020 A3015="
"40712799999","2023-03-14T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","02743,1,9,N","006000,1,9,9","+0160,1","+0150,1","99999,9","04,1,+01219,1,99,9","07,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01219,1,99,9,99,9","10160,1,99999,9",,"MET064METAR OIAD 140200Z 00000KT 6000 SCT040 BKN090 16/15 Q1016 A3000="
"40712799999","2023-04-04T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","007000,1,9,9","+0100,1","+0080,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10140,1,99999,9",,"MET054METAR OIAD 040200Z 00000KT 7000 NSC 10/08 Q1014 A2995="
"40712799999","2023-04-25T07:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","140,1,N,0072,1","01219,1,C,N","009999,1,9,9","+0280,1","+0130,1","99999,9","02,1,+01067,1,09,1","04,1,+01219,1,99,9","07,1,+03048,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10110,1,99999,9",,"MET073METAR OIAD 250700Z 14014KT 9999 FEW035CB SCT040 BKN100 28/13 Q1011 A2987="
"40712799999","2023-04-25T09:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","140,1,N,0062,1","01219,1,C,N","009999,1,9,9","+0300,1","+0120,1","99999,9","02,1,+01067,1,09,1","04,1,+01219,1,99,9","07,1,+03048,1,99,9","9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9","10100,1,99999,9",,"MET073METAR OIAD 250900Z 14012KT 9999 FEW035CB SCT040 BKN100 30/12 Q1010 A2985="
"40712799999","2023-04-29T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","+0160,1","+0090,1","99999,9",,,,,,"10060,1,99999,9",,"MET051METAR OIAD 290200Z 00000KT CAVOK 16/09 Q1006 A2971="
"40712799999","2023-05-01T20:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","100,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0180,1","+0040,1","99999,9",,,,,,"10110,1,99999,9",,"MET051METAR OIAD 012000Z 10004KT CAVOK 18/04 Q1011 A2987="
"40712799999","2023-05-06T14:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","250,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0390,1","-0050,1","99999,9",,,,,,"10080,1,99999,9",,"MET052METAR OIAD 061400Z 25006KT CAVOK 39/M05 Q1008 A2979="
"40712799999","2023-05-07T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","+0150,1","+0080,1","99999,9",,,,,,"10100,1,99999,9",,"MET051METAR OIAD 070200Z 00000KT CAVOK 15/08 Q1010 A2983="
"40712799999","2023-05-07T03:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","+0170,1","+0100,1","99999,9",,,,,,"10100,1,99999,9",,"MET051METAR OIAD 070300Z 00000KT CAVOK 17/10 Q1010 A2984="
"40712799999","2023-05-11T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","009900,5,9,9","+0170,1","+0110,1","99999,9",,,,,,"10110,1,99999,9",,"MET051METAR OIAD 110200Z 00000KT CAVOK 17/11 Q1011 A2986="
"40712799999","2023-05-13T16:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","250,1,N,0031,1","22000,1,9,N","006000,1,9,9","+0360,1","+0040,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10060,1,99999,9",,"MET054METAR OIAD 131600Z 25006KT 6000 NSC 36/04 Q1006 A2972="
"40712799999","2023-05-14T02:00:00","4","32.434444","48.39764","144.47","DEZFUL, IR","FM-15","99999","V020","160,1,N,0021,1","22000,1,9,N","006000,1,9,9","+0190,1","+0090,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10080,1,99999,9",,"MET054METAR OIAD 140200Z 16004KT 6000 NSC 19/09 Q1008 A2977="
