"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","ME1","REM","EQD"
"43272099999","2023-03-26T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0250,1","+0212,1","99999,9",,,,,,,,"240,M,+0344,1","240,N,+0208,1","99999,9,09172,1","9,9,999,9,-003,1","3,1522,9","SYN07443272 32997 01401 10250 20212 39172 48522 333 10344 20208 59003 555 10106=",
"43272099999","2023-03-27T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0256,1","+0173,1","99999,9",,,,,,,,"240,M,+0337,1","240,N,+0213,1","99999,9,09175,1","9,9,999,9,+003,1","3,1525,9","SYN07443272 32997 03201 10256 20173 39175 48525 333 10337 20213 58003 555 10106=",
"43272099999","2023-03-28T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0252,1","+0153,1","99999,9",,,,,,,,"240,M,+0341,1","240,N,+0186,1","99999,9,09170,1","9,9,999,9,-005,1","3,1520,9","SYN07443272 32997 03202 10252 20153 39170 48520 333 10341 20186 59005 555 10106=",
"43272099999","2023-03-29T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0246,1","+0220,1","99999,9",,,,,,,,"240,M,+0344,1","240,N,+0214,1","99999,9,09184,1","9,9,999,9,+014,1","3,1531,9","SYN07443272 32997 03201 10246 20220 39184 48531 333 10344 20214 58014 555 10106=",
"43272099999","2023-03-31T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0252,1","+0178,1","99999,9",,,,,,,,"240,M,+0324,1","240,N,+0206,1","99999,9,09166,1","9,9,999,9,-007,1","3,1516,9","SYN07443272 32997 03201 10252 20178 39166 48516 333 10324 20206 59007 555 10112=",
"43272099999","2023-04-01T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0244,1","+0209,1","99999,9","24,0020,3,1",,,,,,,"240,M,+0322,1","240,N,+0210,1","99999,9,09170,1","9,9,999,9,+004,1","3,1518,9","SYN09243272 22997 02300 10244 20209 39170 48518 8//// 333 10322 20210 58004 6002/ 555 00016 10114=",
"43272099999","2023-04-05T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0244,1","+0180,1","99999,9",,,,,,,,"240,M,+0319,1","240,N,+0199,1","99999,9,09166,1","9,9,999,9,-006,1","3,1514,9","SYN08043272 32997 02300 10244 20180 39166 48514 8//// 333 10319 20199 59006 555 10114=",
"43272099999","2023-04-06T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0242,1","+0210,1","99999,9",,,,,,,,"240,M,+0341,1","240,N,+0209,1","99999,9,09175,1","9,9,999,9,+009,1","3,1523,9","SYN07443272 32997 01401 10242 20210 39175 48523 333 10341 20209 58009 555 10114=",
"43272099999","2023-04-07T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0238,1","+0208,1","99999,9",,,,,,,,"240,M,+0334,1","240,N,+0203,1","99999,9,09173,1","9,9,999,9,-002,1","3,1519,9","SYN07443272 32997 01401 10238 20208 39173 48519 333 10334 20203 59002 555 10114=",
"43272099999","2023-04-09T03:00:00","4","13.2","78.0666666","857.0","CHINTAMANI, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0238,1","+0189,1","99999,9",,,,,,,,"240,M,+0341,1","240,N,+0173,1","99999,9,09193,1","9,9,999,9,-003,1","3,1536,9","SYN06443272 32997 01402 10238 20189 39193 48536 333 10341 20173 59003=",
