"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"15525499999","2023-01-01T15:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0160,1","+0080,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10300,1,99999,9",,,,"MET051METAR LBPL 011500Z 00000KT 9999 FEW200 16/08 Q1030=",
"15525499999","2023-01-01T16:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0110,1","+0060,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10300,1,99999,9",,,,"MET051METAR LBPL 011600Z 00000KT 9999 FEW200 11/06 Q1030=",
"15525499999","2023-01-01T17:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0080,1","+0050,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10300,1,99999,9",,,,"MET048METAR LBPL 011700Z 00000KT 9999 SKC 08/05 Q1030=",
"15525499999","2023-01-01T18:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","100,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0070,1","+0040,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10300,1,99999,9",,,,"MET048METAR LBPL 011800Z 10002KT 9999 SKC 07/04 Q1030=",
"15525499999","2023-01-01T19:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","100,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0060,1","+0030,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10300,1,99999,9",,,,"MET048METAR LBPL 011900Z 10002KT 9999 SKC 06/03 Q1030=",
"15525499999","2023-01-01T20:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","100,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0050,1","+0020,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10300,1,99999,9",,,,"MET048METAR LBPL 012000Z 10002KT 9999 SKC 05/02 Q1030=",
"15525499999","2023-01-01T21:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","100,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0050,1","+0030,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10300,1,99999,9",,,,"MET048METAR LBPL 012100Z 10002KT 9999 SKC 05/03 Q1030=",
"15525499999","2023-01-01T22:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","100,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0040,1","+0020,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10300,1,99999,9",,,,"MET048METAR LBPL 012200Z 10002KT 9999 SKC 04/02 Q1030=",
"15525499999","2023-01-01T23:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10310,1,99999,9",,,,"MET048METAR LBPL 012300Z 00000KT 9999 SKC 02/01 Q1031=",
"15525499999","2023-01-02T00:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10310,1,99999,9",,,,"MET048METAR LBPL 020000Z 00000KT 9999 SKC 02/01 Q1031=",
"15525499999","2023-01-02T01:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10310,1,99999,9",,,,"MET048METAR LBPL 020100Z 00000KT 9999 SKC 02/01 Q1031=",
"15525499999","2023-01-02T02:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0010,1","+0000,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10310,1,99999,9",,,,"MET048METAR LBPL 020200Z 00000KT 9999 SKC 01/00 Q1031=",
"15525499999","2023-01-02T03:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0000,1","+0000,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10320,1,99999,9",,,,"MET049METAR LBPL 020300Z 00000KT 9999 SKC 00/M00 Q1032=",
"15525499999","2023-01-02T10:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0120,1","+0060,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10290,1,99999,9",,,,"MET048METAR LBPL 021000Z 00000KT 9999 SKC 12/06 Q1029=",
"15525499999","2023-01-02T11:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0150,1","+0070,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10280,1,99999,9",,,,"MET048METAR LBPL 021100Z 00000KT 9999 SKC 15/07 Q1028=",
"15525499999","2023-01-02T12:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0160,1","+0070,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10280,1,99999,9",,,,"MET048METAR LBPL 021200Z 00000KT 9999 SKC 16/07 Q1028=",
"15525499999","2023-01-02T13:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0170,1","+0070,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 021300Z 00000KT 9999 SKC 17/07 Q1027=",
"15525499999","2023-01-02T14:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0160,1","+0060,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 021400Z 00000KT 9999 SKC 16/06 Q1027=",
"15525499999","2023-01-02T15:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0140,1","+0060,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 021500Z 00000KT 9999 SKC 14/06 Q1027=",
"15525499999","2023-01-02T16:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","120,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0110,1","+0040,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 021600Z 12002KT 9999 SKC 11/04 Q1027=",
"15525499999","2023-01-02T17:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","140,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0090,1","+0060,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 021700Z 14002KT 9999 SKC 09/06 Q1027=",
"15525499999","2023-01-02T18:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0060,1","+0050,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 021800Z 00000KT 9999 SKC 06/05 Q1027=",
"15525499999","2023-01-02T19:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0050,1","+0040,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 021900Z 00000KT 9999 SKC 05/04 Q1027=",
"15525499999","2023-01-02T20:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0050,1","+0040,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 022000Z 00000KT 9999 SKC 05/04 Q1027=",
"15525499999","2023-01-02T21:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","310,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0040,1","+0030,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 022100Z 31002KT 9999 SKC 04/03 Q1027=",
"15525499999","2023-01-02T22:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","310,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0030,1","+0020,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 022200Z 31002KT 9999 SKC 03/02 Q1027=",
"15525499999","2023-01-02T23:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0020,1","+0020,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 022300Z 00000KT 9999 SKC 02/02 Q1027=",
"15525499999","2023-01-03T00:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 030000Z 00000KT 9999 SKC 02/01 Q1027=",
"15525499999","2023-01-03T01:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10270,1,99999,9",,,,"MET048METAR LBPL 030100Z 00000KT 9999 SKC 02/01 Q1027=",
"15525499999","2023-01-03T02:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0010,1","+0000,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10260,1,99999,9",,,,"MET048METAR LBPL 030200Z 00000KT 9999 SKC 01/00 Q1026=",
"15525499999","2023-01-03T03:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0010,1","+0000,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10260,1,99999,9",,,,"MET048METAR LBPL 030300Z 00000KT 9999 SKC 01/00 Q1026=",
"15525499999","2023-01-03T04:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0010,1","+0000,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10260,1,99999,9",,,,"MET048METAR LBPL 030400Z 00000KT 9999 SKC 01/00 Q1026=",
"15525499999","2023-01-03T05:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0010,1","+0000,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10260,1,99999,9",,,,"MET048METAR LBPL 030500Z 00000KT 9999 SKC 01/00 Q1026=",
"15525499999","2023-01-03T06:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","22000,1,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9",,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10250,1,99999,9",,,,"MET048METAR LBPL 030600Z 00000KT 9999 SKC 02/01 Q1025=",
"15525499999","2023-01-03T07:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0020,1","+0010,1","99999,9","02,1,+03048,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,03048,1,99,9,99,9","10250,1,99999,9",,,,"MET051METAR LBPL 030700Z 00000KT 9999 FEW100 02/01 Q1025=",
"15525499999","2023-01-03T08:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","200,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0040,1","-0030,1","99999,9","02,1,+03048,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,03048,1,99,9,99,9","10260,1,99999,9",,,,"MET052METAR LBPL 030800Z 20002KT 9999 FEW100 04/M03 Q1026=",
"15525499999","2023-01-03T09:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","360,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0060,1","+0040,1","99999,9","02,1,+03048,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,03048,1,99,9,99,9","10270,1,99999,9",,,,"MET051METAR LBPL 030900Z 36002KT 9999 FEW100 06/04 Q1027=",
"15525499999","2023-01-03T10:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","350,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0100,1","+0060,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10260,1,99999,9",,,,"MET051METAR LBPL 031000Z 35002KT 9999 FEW200 10/06 Q1026=",
"15525499999","2023-01-03T11:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","270,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0130,1","+0070,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10250,1,99999,9",,,,"MET051METAR LBPL 031100Z 27004KT 9999 FEW200 13/07 Q1025=",
"15525499999","2023-01-03T12:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","250,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0150,1","+0070,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10250,1,99999,9",,,,"MET051METAR LBPL 031200Z 25004KT 9999 FEW200 15/07 Q1025=",
"15525499999","2023-01-03T13:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","280,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0170,1","+0090,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10240,1,99999,9",,,,"MET051METAR LBPL 031300Z 28004KT 9999 FEW200 17/09 Q1024=",
"15525499999","2023-01-03T14:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","300,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0160,1","+0080,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10240,1,99999,9",,,,"MET051METAR LBPL 031400Z 30002KT 9999 FEW200 16/08 Q1024=",
"15525499999","2023-01-03T15:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","270,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0140,1","+0060,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10240,1,99999,9",,,,"MET051METAR LBPL 031500Z 27002KT 9999 FEW200 14/06 Q1024=",
"15525499999","2023-01-03T16:00:00","4","43.45","24.5","101.0","DOLNA MITROPOLIA AB, BU","FM-15","99999","V020","250,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0120,1","+0060,1","99999,9","02,1,+06096,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,06096,1,99,9,99,9","10250,1,99999,9",,,,"MET051METAR LBPL 031600Z 25002KT 9999 FEW200 12/06 Q1025=",
