"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","GA1","GA2","GA3","GE1","GF1","MA1","MW1","MW2","MW3","REM","EQD"
"47107499999","2023-01-02T05:38:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","270,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0010,1","-0130,1","10238,1",,,"04,1,+05486,1,02,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,05486,1,99,9,99,9","10230,1,99999,9",,,,"MET073METAR RKNO 0538Z 27002KT 9999 SCT180 01/M13 A3021 RMK SLP238 8/008 9/003=",
"47107499999","2023-01-02T05:42:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+9999,9","+9999,9","10033,2",,,,,,,,"10020,5,99999,9",,,,"MET078METAR RKNO 0542Z 26010G023KT 9999 SKC M13/M22 A2959 RMK PK WND 2526/38 SLP033=","P01 -01303ATOT  P02 -02203ATOD  D01      0ADE693D02      0ADE539"
"47107499999","2023-01-02T05:43:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","99999,9,9,N","011265,5,9,9","+9999,9","+9999,9","10037,1",,,"99,9,+99999,9,06,1",,,"9,AGL   ,+99999,+99999",,"10027,5,99999,9",,,,"MET093METAR RKNO 0543Z 25011G022KT 9999 FEW030 M10/M22 A2961 RMK PK WND 2728/27 SLP037 8/500 9/100=","P01 -01003ATOT  P02 -02203ATOD  D01      0ADE693D02      0ADE539"
"47107499999","2023-01-02T05:44:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","05486,1,9,N","011265,5,9,9","-0080,5","-0200,5","99999,9",,,"99,9,+99999,9,06,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999",,"10020,5,99999,9",,,,"MET107METAR RKNO 0544Z 26014G026KT 9999 FEW030 BKN180 M08/M20 A2959 RMK PK WND 2737/40 CIG180 SLP029 8/508 9/105=","Q01 100293APOSLPD01      0ADE693D02      0ADE539"
"47107499999","2023-01-02T05:45:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","999,9,N,9999,9","05486,1,9,N","011265,5,9,9","+9999,9","-0200,5","99999,9",,,"99,9,+99999,9,06,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999",,"99999,9,99999,9",,,,"MET107METAR RKNO 0545Z 26013G024KT 9999 FEW030 BKN180 M09/M20 A2956 RMK PK WND 2629/42 CIG180 SLP050 8/508 9/106=","Q01 100103APOA  Q02 100503APOSLPP01 -00903ATOT  D01      0ADE693D02      0ADE539"
"47107499999","2023-01-02T05:56:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","120,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0020,1","-0130,1","10257,2",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9",,,,"MET058METAR RKNO 0556Z 12002KT 9999 SKC 02/M13 A3027 RMK SLP257=",
"47107499999","2023-01-02T06:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","170,1,N,0010,1","22000,1,9,N","009999,1,9,9","+0020,1","-0120,1","10258,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9",,,,"MET058METAR RKNO 0655Z 17002KT 9999 SKC 02/M12 A3027 RMK SLP258=",
"47107499999","2023-01-02T07:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","250,1,N,0021,1","22000,1,9,N","009999,1,9,9","+0020,1","-0170,1","10259,2",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10254,2,99999,9",,,,"MET058METAR RKNO 0755Z 25004KT 9999 SKC 02/M17 A3028 RMK SLP259=",
"47107499999","2023-01-02T08:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0041,1","22000,1,9,N","009999,1,9,9","+0010,1","-0170,1","10259,2",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10254,2,99999,9",,,,"MET063METAR RKNO 0855Z 26008KT 9999 SKC 01/M17 A3028 RMK SLP259 LAST=",
"47107499999","2023-01-02T21:04:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","270,1,N,0036,1","22000,1,9,N","009999,1,9,9","-0030,1","-0200,1","10262,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10254,1,99999,9",,,,"MET065METAR RKNO 2104Z 27007KT 9999 SKC M03/M20 A3028 RMK SLP262 FIRST=",
"47107499999","2023-01-02T21:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","250,1,N,0026,1","22000,1,9,N","009999,1,9,9","-0040,1","-0190,1","10267,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10257,1,99999,9",,,,"MET059METAR RKNO 2155Z 25005KT 9999 SKC M04/M19 A3029 RMK SLP267=",
"47107499999","2023-01-02T22:56:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","260,1,N,0021,1","22000,1,9,N","009999,1,9,9","-0040,1","-0210,1","10269,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10261,1,99999,9",,,,"MET059METAR RKNO 2256Z 26004KT 9999 SKC M04/M21 A3030 RMK SLP269=",
"47107499999","2023-01-02T23:56:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","250,1,N,0026,1","22000,1,9,N","009999,1,9,9","-0010,1","-0200,1","10269,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10261,1,99999,9",,,,"MET059METAR RKNO 2356Z 25005KT 9999 SKC M01/M20 A3030 RMK SLP269=",
"47107499999","2023-01-03T00:55:00","4","38.467","128.467","107.0","KEO JIN, KS","FM-15","99999","V020","230,1,N,0021,1","22000,1,9,N","009999,1,9,9","+0010,1","-0200,1","10271,1",,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10264,1,99999,9",,,,"MET058METAR RKNO 0055Z 23004KT 9999 SKC 01/M20 A3031 RMK SLP271=",
