"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AY1","AY2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"02821099999","2023-01-01T17:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","302,1,N,0105,1","99999,9,9,9","027430,1,9,9","-0047,1","-0051,1","09908,1","24,1",,,,,"99999,9,09230,1",,,"0123,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T18:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","299,1,N,0113,1","99999,9,9,9","022170,1,9,9","-0054,1","-0059,1","09920,1","00,1","8,1,99,9","7,1,99,9","120,M,-0039,1","120,N,-0063,1","99999,9,09240,1","2,1,031,1,+999,9",,"0132,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T19:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","302,1,N,0117,1","99999,9,9,9","019080,1,9,9","-0057,1","-0062,1","09931,1","00,1",,,,,"99999,9,09249,1",,,"0137,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T20:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","296,1,N,0113,1","99999,9,9,9","017620,1,9,9","-0057,1","-0062,1","09944,1","00,1",,,,,"99999,9,09262,1",,,"0129,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T21:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","299,1,N,0097,1","99999,9,9,9","041100,1,9,9","-0057,1","-0062,1","09955,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09272,1","2,1,032,1,+999,9",,"0123,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T22:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","306,1,N,0100,1","99999,9,9,9","033330,1,9,9","-0059,1","-0064,1","09967,1","00,1",,,,,"99999,9,09282,1",,,"0118,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-01T23:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","298,1,N,0085,1","99999,9,9,9","032260,1,9,9","-0065,1","-0071,1","09977,1","00,1",,,,,"99999,9,09290,1",,,"0111,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T00:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","305,1,N,0081,1","99999,9,9,9","026690,1,9,9","-0065,1","-0073,1","09986,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09298,1","2,1,026,1,+999,9",,"0113,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T01:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","296,1,N,0065,1","99999,9,9,9","031880,1,9,9","-0070,1","-0078,1","09995,1","00,1",,,,,"99999,9,09306,1",,,"0082,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T02:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","303,1,N,0084,1","99999,9,9,9","035590,1,9,9","-0072,1","-0079,1","10002,1","00,1",,,,,"99999,9,09312,1",,,"0103,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T03:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","315,1,N,0078,1","99999,9,9,9","034900,1,9,9","-0067,1","-0073,1","10009,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09319,1","2,1,021,1,+999,9",,"0092,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T04:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","278,1,N,0058,1","99999,9,9,9","033090,1,9,9","-0072,1","-0080,1","10020,1","00,1",,,,,"99999,9,09328,1",,,"0079,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T05:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","288,1,N,0077,1","99999,9,9,9","036010,1,9,9","-0062,1","-0069,1","10025,1","00,1",,,,,"99999,9,09335,1",,,"0089,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T06:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","281,1,N,0078,1","99999,9,9,9","023230,1,9,9","-0062,1","-0069,1","10033,1","00,1","0,1,99,9","0,1,99,9","120,M,-0054,1","120,N,-0075,1","99999,9,09343,1","2,1,024,1,+999,9",,"0092,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T07:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","299,1,N,0066,1","99999,9,9,9","040680,1,9,9","-0050,1","-0056,1","10038,1","00,1",,,,,"99999,9,09350,1",,,"0077,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T08:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","296,1,N,0068,1","99999,9,9,9","033060,1,9,9","-0049,1","-0053,1","10046,1","00,1",,,,,"99999,9,09358,1",,,"0079,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T09:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","290,1,N,0061,1","99999,9,9,9","039060,1,9,9","-0045,1","-0050,1","10053,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09366,1","2,1,023,1,+999,9",,"0071,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T10:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","296,1,N,0059,1","99999,9,9,9","046650,1,9,9","-0042,1","-0046,1","10058,1","00,1",,,,,"99999,9,09371,1",,,"0065,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T11:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","284,1,N,0063,1","99999,9,9,9","047220,1,9,9","-0040,1","-0045,1","10062,1","00,1",,,,,"99999,9,09375,1",,,"0067,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T12:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","289,1,N,0055,1","99999,9,9,9","049960,1,9,9","-0044,1","-0048,1","10065,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09377,1","2,1,012,1,+999,9",,"0060,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T13:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","308,1,N,0051,1","99999,9,9,9","048400,1,9,9","-0039,1","-0043,1","10065,1","00,1",,,,,"99999,9,09378,1",,,"0062,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T14:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","319,1,N,0031,1","99999,9,9,9","050000,1,9,9","-0037,1","-0042,1","10067,1","00,1",,,,,"99999,9,09380,1",,,"0067,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T15:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","257,1,N,0027,1","99999,9,9,9","049530,1,9,9","-0044,1","-0048,1","10070,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09382,1","2,1,004,1,+999,9",,,"3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T16:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","279,1,N,0026,1","99999,9,9,9","043160,1,9,9","-0050,1","-0056,1","10076,1","00,1",,,,,"99999,9,09385,1",,,"0058,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T17:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","153,1,N,0017,1","99999,9,9,9","042530,1,9,9","-0050,1","-0054,1","10075,1","00,1",,,,,"99999,9,09385,1",,,,"3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T18:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","129,1,N,0024,1","99999,9,9,9","050000,1,9,9","-0055,1","-0060,1","10075,1","00,1","0,1,99,9","0,1,99,9","120,M,-0036,1","120,N,-0064,1","99999,9,09383,1","2,9,005,9,+999,9",,,"3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T19:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","187,1,N,0041,1","99999,9,9,9","045680,1,9,9","-0062,1","-0069,1","10076,1","00,1",,,,,"99999,9,09383,1",,,"0050,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T20:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","187,1,N,0048,1","99999,9,9,9","050000,1,9,9","-0062,1","-0069,1","10078,1","00,1",,,,,"99999,9,09385,1",,,"0055,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T21:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","184,1,N,0053,1","99999,9,9,9","050000,1,9,9","-0069,1","-0076,1","10082,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09387,1","2,1,003,1,+999,9",,"0060,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T22:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","212,1,N,0063,1","99999,9,9,9","050000,1,9,9","-0074,1","-0081,1","10086,1","00,1",,,,,"99999,9,09389,1",,,"0066,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-02T23:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","205,1,N,0050,1","99999,9,9,9","050000,1,9,9","-0074,1","-0080,1","10084,1","00,1",,,,,"99999,9,09387,1",,,"0053,1","3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T00:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","158,1,N,0026,1","99999,9,9,9","050000,1,9,9","-0079,1","-0086,1","10088,1","00,1","0,1,99,9","0,1,99,9",,,"99999,9,09390,1","2,1,003,1,+999,9",,,"3,99,9999,9,999","SYN004BUFR",
"02821099999","2023-01-03T01:00:00","4","67.9666666","24.1166666","565.5","MUONIO SAMMALTUNTURI, FI","FM-12","99999","V020","082,1,N,0028,1","99999,9,9,9","000780,1,9,9","-0097,1","-0108,1","10097,1","34,1",,,,,"99999,9,09394,1",,,,"3,99,9999,9,999","SYN004BUFR",
