"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","REM","EQD"
"03396199999","2023-07-20T23:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0132,1","+9999,9","10129,1","8,1,001,1,+999,9","SYN06603380 20234 99536 10001 46/// /28// 10132 20137 40129 58001 22200=",
"03396199999","2023-07-21T00:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0130,1","+9999,9","10126,1","8,1,006,1,+999,9","SYN06603380 21004 99536 10001 46/// /27// 10130 20136 40126 58006 22200=",
"03396199999","2023-07-21T01:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0125,1","+9999,9","10123,1","7,1,008,1,+999,9","SYN06603380 21014 99536 10001 46/// /25// 10125 20130 40123 57008 22200=",
"03396199999","2023-07-21T02:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0126,1","+9999,9","10118,1","7,1,011,1,+999,9","SYN06603380 21024 99536 10001 46/// /27// 10126 20131 40118 57011 22200=",
"03396199999","2023-07-21T03:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0122,1","+9999,9","10116,1","7,1,011,1,+999,9","SYN06603380 21034 99536 10001 46/// /27// 10122 20128 40116 57011 22200=",
"03396199999","2023-07-21T04:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0112,1","+9999,9","10114,1","6,1,009,1,+999,9","SYN06603380 21044 99536 10001 46/// /26// 10112 20118 40114 56009 22200=",
"03396199999","2023-07-21T05:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0107,1","+9999,9","10114,1","7,1,004,1,+999,9","SYN06603380 21054 99536 10001 46/// /26// 10107 20113 40114 57004 22200=",
"03396199999","2023-07-21T06:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0118,1","+9999,9","10113,1","7,1,002,1,+999,9","SYN06603380 21064 99536 10001 46/// /27// 10118 20124 40113 57002 22200=",
"03396199999","2023-07-21T07:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0130,1","+9999,9","10113,1","6,1,001,1,+999,9","SYN06603380 21074 99536 10001 46/// /27// 10130 20135 40113 56001 22200=",
"03396199999","2023-07-21T08:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0147,1","+9999,9","10113,1","7,1,001,1,+999,9","SYN06603380 21084 99536 10001 46/// /28// 10147 20153 40113 57001 22200=",
"03396199999","2023-07-21T09:00:00","4","53.567","0.117","7.0","SPURN HEAD POINT, UK","FM-13","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+0158,1","+9999,9","10115,1","3,1,002,1,+999,9","SYN06603380 21094 99536 10001 46/// /31// 10158 20171 40115 53002 22200=","Q0117.1  2ATOD  "
