"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99843899999","2023-01-01T00:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","200,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0157,1","+9999,9","10161,1",,"5,99,0026,1,999","+086,1","SYN074TESL1 46/// /2004 10157 40161 92342 222// 00086 333 91205 555 11004 22004="
"99843899999","2023-01-01T01:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","170,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0144,1","+9999,9","10165,1",,"5,99,0026,1,999","+085,1","SYN074TESL1 46/// /1704 10144 40165 90042 222// 00085 333 91205 555 11004 22004="
"99843899999","2023-01-01T02:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","190,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0134,1","+9999,9","10168,1",,"5,99,0010,1,999","+084,1","SYN074TESL1 46/// /1902 10134 40168 90136 222// 00084 333 91202 555 11002 22002="
"99843899999","2023-01-01T03:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","160,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0130,1","+9999,9","10171,1","1,1,008,1,+999,9","5,99,0026,1,999","+083,1","SYN080TESL1 46/// /1603 10130 40171 51008 90300 222// 00083 333 91205 555 11003 22003="
"99843899999","2023-01-01T04:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","170,1,N,0010,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10173,1","1,1,007,1,+999,9","5,99,0015,1,999","+083,1","SYN080TESL1 46/// /1702 1//// 40173 51007 90400 222// 00083 333 91203 555 11002 22002="
"99843899999","2023-01-01T05:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","180,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0129,1","+9999,9","10169,1","9,9,000,1,+999,9","5,99,0021,1,999","+083,1","SYN080TESL1 46/// /1804 10129 40169 50000 90500 222// 00083 333 91204 555 11003 22004="
"99843899999","2023-01-01T06:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","170,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0143,1","+9999,9","10165,1","8,1,006,1,+999,9","5,99,0046,1,999","+084,1","SYN080TESL1 46/// /1707 10143 40165 58006 90600 222// 00084 333 91209 555 11006 22007="
"99843899999","2023-01-01T07:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","160,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0139,1","+9999,9","10169,1","5,1,004,1,+999,9","5,99,0026,1,999","+084,1","SYN080TESL1 46/// /1605 10139 40169 55004 90700 222// 00084 333 91205 555 11004 22005="
"99843899999","2023-01-01T08:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0140,1","+9999,9","10173,1","3,1,004,1,+999,9","5,99,0015,1,999","+085,1","SYN080TESL1 46/// /3503 10140 40173 53004 90800 222// 00085 333 91203 555 11003 22003="
"99843899999","2023-01-01T09:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","030,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0136,1","+9999,9","10173,1","1,1,008,1,+999,9","5,99,0021,1,999","+085,1","SYN080TESL1 46/// /0302 10136 40173 51008 90900 222// 00085 333 91204 555 11002 22003="
"99843899999","2023-01-01T10:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","050,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0139,1","+9999,9","10171,1","9,9,000,1,+999,9","5,99,0021,1,999","+086,1","SYN080TESL1 46/// /0504 10139 40171 50000 91000 222// 00086 333 91204 555 11004 22004="
"99843899999","2023-01-01T11:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","040,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0139,1","+9999,9","10171,1","4,1,000,1,+999,9","5,99,0021,1,999","+086,1","SYN080TESL1 46/// /0404 10139 40171 54000 91100 222// 00086 333 91204 555 11004 22004="
"99843899999","2023-01-01T12:00:00","4","29.6666666","-91.2333333","3.0","TESORO MARINE TERMINAL, LA US","FM-13","99999","V020","040,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0144,1","+9999,9","10175,1","5,1,000,1,+999,9","5,99,0021,1,999","+086,1","SYN080TESL1 46/// /0404 10144 40175 55000 91200 222// 00086 333 91204 555 11003 22004="
