"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM"
"48699099999","2023-01-01T12:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","040,1,N,0041,1","08534,1,9,N","009999,1,9,9","+0270,1","+0220,1","99999,9",,"02,1,+00549,1,99,9","07,1,+08534,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9",,,,"MET058METAR WSSL 011200Z 04008KT 9999 FEW018 BKN280 27/22 Q1011="
"48699099999","2023-01-01T13:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","040,1,N,0036,1","09144,1,9,N","009999,1,9,9","+0260,1","+0220,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET058METAR WSSL 011300Z 04007KT 9999 FEW018 BKN300 26/22 Q1012="
"48699099999","2023-01-01T14:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","030,1,N,0041,1","09144,1,9,N","009999,1,9,9","+0260,1","+0220,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET058METAR WSSL 011400Z 03008KT 9999 FEW018 BKN300 26/22 Q1013="
"48699099999","2023-01-01T15:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,N,0031,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET058METAR WSSL 011500Z 02006KT 9999 FEW018 BKN300 26/23 Q1013="
"48699099999","2023-01-01T16:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","350,1,V,0015,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET066METAR WSSL 011600Z 35003KT 310V020 9999 FEW018 BKN300 26/23 Q1013="
"48699099999","2023-01-01T17:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","010,1,N,0021,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10130,1,99999,9",,,,"MET058METAR WSSL 011700Z 01004KT 9999 FEW018 BKN300 26/23 Q1013="
"48699099999","2023-01-01T18:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","010,1,V,0021,1","09144,1,9,N","009999,1,9,9","+0260,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10120,1,99999,9",,,,"MET066METAR WSSL 011800Z 01004KT 330V040 9999 FEW018 BKN300 26/23 Q1012="
"48699099999","2023-01-01T19:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,N,0026,1","09144,1,9,N","009999,1,9,9","+0250,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9",,,,"MET058METAR WSSL 011900Z 02005KT 9999 FEW018 BKN300 25/23 Q1011="
"48699099999","2023-01-01T20:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","020,1,N,0031,1","09144,1,9,N","009999,1,9,9","+0250,1","+0220,1","99999,9",,"02,1,+00549,1,99,9","07,1,+09144,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9",,,,"MET058METAR WSSL 012000Z 02006KT 9999 FEW018 BKN300 25/22 Q1011="
"48699099999","2023-01-01T21:00:00","4","1.41695","103.867653","10.97","SELETAR, SN","FM-15","99999","V020","010,1,V,0021,1","04877,1,C,N","009999,1,9,9","+0250,1","+0230,1","99999,9",,"02,1,+00549,1,99,9","04,1,+04877,1,99,9","07,1,+09144,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10110,1,99999,9",,,,"MET073METAR WSSL 012100Z 01004KT 330V040 9999 FEW018 SCT160 BKN300 25/23 Q1011="
