"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GA4","GA5","GE1","GF1","IA1","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"91925099999","2023-01-01T11:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","018000,1,9,9","+0231,1","+0188,1","10139,1","01,0000,9,1",,,,,,,,,,,,,,"99999,9,10078,1","8,1,013,1,+999,9","00,1",,"3,99,0021,1,999","SYN08691925 24968 /0000 10231 20188 30078 40139 58013 700// 333 60005 90710 91104 555 12804=",
"91925099999","2023-01-01T12:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","020,1,N,0010,1","99999,9,9,N","019000,1,9,9","+0233,1","+0190,1","10134,1","03,0000,9,1","06,0000,9,1",,,,,,,,,,,"240,M,+0317,1",,"99999,9,10073,1","6,1,016,1,+015,1","00,1",,"3,99,0031,1,999","SYN11091925 04969 /0202 10233 20190 30073 40134 56016 60001 700// 333 10317 58015 60007 90710 91106 555 60005 10306=",
"91925099999","2023-01-01T13:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","360,1,N,0010,1","99999,9,9,N","017000,1,9,9","+0231,1","+0195,1","10134,1","01,0000,9,1",,,,,,,,,,,,,,"99999,9,10073,1","6,1,009,1,+999,9","00,1",,"3,99,0036,1,999","SYN08691925 24567 /3602 10231 20195 30073 40134 56009 700// 333 60005 90710 91107 555 13007=",
"91925099999","2023-01-01T15:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,N","019000,1,9,9","+0228,1","+0192,1","10144,1","03,0000,9,1",,,,,,,,,,,,,,"99999,9,10083,1","3,1,010,1,+999,9","00,1",,"3,99,0031,1,999","SYN09891925 24969 /2902 10228 20192 30083 40144 53010 700// 333 60007 90710 91106 555 60005 13007 58008=",
"91925099999","2023-01-01T16:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","019000,1,9,9","+0255,1","+0207,1","10148,1","01,0000,9,1",,,,,,,,,,,,,,"99999,9,10087,1","1,1,014,1,+999,9","00,1",,"3,99,0026,1,999","SYN08691925 24969 /0000 10255 20207 30087 40148 51014 700// 333 60005 90710 91105 555 13005=",
"91925099999","2023-01-01T17:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","019000,1,9,9","+0274,1","+0197,1","10153,1","01,0000,9,1",,,,"99,9,+01250,1,99,9",,,,,"9,AGL   ,+99999,+99999","07,99,1,99,9,99,9,01250,1,99,9,99,9",,,,"99999,9,10093,1","3,1,014,1,+999,9","00,1",,"3,99,0031,1,999","SYN08691925 24669 71402 10274 20197 30093 40153 53014 700// 333 60005 90710 91106 555 12306=",
"91925099999","2023-01-01T18:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","090,1,N,0077,1","99999,9,9,N","018000,1,9,9","+0291,1","+0211,1","10154,1","03,0000,9,1","06,0000,9,1",,,"99,9,+01250,1,99,9",,,,,"9,AGL   ,+99999,+99999","06,99,1,99,9,99,9,01250,1,99,9,99,9",,,,"99999,9,10094,1","1,1,011,1,+999,9","00,1",,"3,99,0129,1,999","SYN10491925 04668 60915 10291 20211 30094 40154 51011 60001 700// 333 60007 90710 91125 555 60005 11125 58004=",
"91925099999","2023-01-01T19:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","090,1,N,0088,1","22000,1,9,N","040000,1,9,9","+0279,1","+0212,1","10151,1","01,0000,9,1",,,,"03,1,+00800,1,08,1",,,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00800,1,99,9,99,9",,,,"99999,9,10091,1","9,9,004,1,+999,9",,,,"SYN09891925 22582 30917 10279 20212 30091 40151 50004 83200 333 60005 56200 83825 90710 91125 555 10725=",
"91925099999","2023-01-01T20:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","090,1,N,0082,1","99999,9,9,N","019000,1,9,9","+0293,1","+0218,1","10144,1","01,0000,9,1",,,,"99,9,+00800,1,99,9",,,,,"9,AGL   ,+99999,+99999","07,99,1,99,9,99,9,00800,1,99,9,99,9",,,,"99999,9,10084,1","8,1,009,1,+999,9","00,1",,"3,99,0124,1,999","SYN08691925 24569 70916 10293 20218 30084 40144 58009 700// 333 60005 90710 91124 555 11124=",
"91925099999","2023-01-01T21:00:00","4","-9.8","-139.0333333","53.0","HIVA OA, FP","FM-12","99999","V020","120,1,N,0051,1","00600,1,C,N","010000,1,9,9","+0270,1","+0226,1","10139,1","03,0020,3,1",,"8,1,02,1","6,1,02,1","06,1,+00600,1,08,1",,,,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,00600,1,99,9,99,9",,,,"99999,9,10079,1","8,1,015,1,+999,9","25,1",,"3,99,0154,1,999","SYN11691925 21560 61210 10270 20226 30079 40139 58015 72586 86200 333 56200 60027 86820 90710 91130 555 60025 10730 58001=",
