"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"01017099999","2023-10-23T15:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0045,1","-0081,1","10226,1","240,M,-0045,1","240,N,-0047,1","99999,9,10201,1",,,"3,99,0050,1,999","SYN07601017 46/// /0604 11045 21081 30201 40226 54001 333 11045 21047 90710 91105=","Q014     3APCTENQ02.1    3APC3  "
"01017099999","2023-10-23T21:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0030,1","-0068,1","10218,1","240,M,-0030,1","240,N,-0033,1","99999,9,10193,1","7,1,005,1,+999,9",,"3,99,0040,1,999","SYN08201017 46/// /0603 11030 21068 30193 40218 57005 92100 333 11030 21033 90710 91104=",
"01017099999","2023-10-24T03:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","080,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0027,1","-0046,1","10212,1","240,M,-0027,1","240,N,-0031,1","99999,9,10187,1","4,1,000,1,+999,9",,"3,99,0030,1,999","SYN07601017 46/// /0802 11027 21046 30187 40212 54000 333 11027 21031 90710 91103=",
"01017099999","2023-10-24T09:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0020,1","-0027,1","10217,1","240,M,-0019,1","240,N,-0021,1","99999,9,10192,1","2,1,005,1,+999,9",,"3,99,0030,1,999","SYN07601017 46/// /0601 11020 21027 30192 40217 52005 333 11019 21021 90710 91103=",
"01017099999","2023-10-24T15:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","090,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0025,1","-0029,1","10219,1","240,M,-0021,1","240,N,-0025,1","99999,9,10195,1",,,"3,99,0030,1,999","SYN08201017 46/// /0902 11025 21029 30195 40219 54001 91500 333 11021 21025 90710 91103=","Q014     3APCTENQ02.1    3APC3  "
"01017099999","2023-10-24T21:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0027,1","-0032,1","10216,1","240,M,-0027,1","240,N,-0030,1","99999,9,10192,1",,,"3,99,0040,1,999","SYN08201017 46/// /0702 11027 21032 30192 40216 54002 92100 333 11027 21030 90710 91104=","Q014     3APCTENQ02.2    3APC3  "
"01017099999","2023-10-25T03:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","050,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0021,1","-0030,1","10204,1","240,M,-0021,1","240,N,-0024,1","99999,9,10180,1","7,1,006,1,+999,9",,"3,99,0040,1,999","SYN07601017 46/// /0503 11021 21030 30180 40204 57006 333 11021 21024 90710 91104=",
"01017099999","2023-10-25T09:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0017,1","-0027,1","10193,1","240,M,-0017,1","240,N,-0018,1","99999,9,10169,1","7,1,005,1,+999,9",,"3,99,0050,1,999","SYN07601017 46/// /0603 11017 21027 30169 40193 57005 333 11017 21018 90710 91105=",
"01017099999","2023-10-25T15:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0015,1","-0030,1","10171,1","240,M,-0014,1","240,N,-0015,1","99999,9,10147,1","7,1,013,1,+999,9",,"3,99,0040,1,999","SYN07601017 46/// /0703 11015 21030 30147 40171 57013 333 11014 21015 90710 91104=",
"01017099999","2023-10-25T21:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0024,1","-0040,1","10151,1","240,M,-0023,1","240,N,-0025,1","99999,9,10127,1","7,1,010,1,+999,9",,"3,99,0090,1,999","SYN07601017 46/// /0707 11024 21040 30127 40151 57010 333 11023 21025 90710 91109=",
"01017099999","2023-10-26T03:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0018,1","-0055,1","10138,1","240,M,-0014,1","240,N,-0020,1","99999,9,10114,1","8,1,008,1,+999,9",,"3,99,0070,1,999","SYN07601017 46/// /0605 11018 21055 30114 40138 58008 333 11014 21020 90710 91107=",
"01017099999","2023-10-26T09:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","060,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0022,1","-0048,1","10134,1","240,M,-0022,1","240,N,-0027,1","99999,9,10110,1",,,"3,99,0090,1,999","SYN07601017 46/// /0606 11022 21048 30110 40134 54003 333 11022 21027 90710 91109=","Q014     3APCTENQ02.3    3APC3  "
"01017099999","2023-10-26T15:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0080,1","99999,9,9,N","999999,9,9,9","-0014,1","-0039,1","10127,1","240,M,-0011,1","240,N,-0015,1","99999,9,10103,1","7,1,004,1,+999,9",,"3,99,0090,1,999","SYN07601017 46/// /0708 11014 21039 30103 40127 57004 333 11011 21015 90710 91109=",
"01017099999","2023-10-26T21:00:00","4","77.6833333","14.7833333","6.0","AKSELOYA, SV","FM-12","99999","V020","070,1,N,0080,1","99999,9,9,N","999999,9,9,9","-0019,1","-0033,1","10127,1","240,M,-0016,1","240,N,-0019,1","99999,9,10103,1","2,1,004,1,+999,9",,"3,99,0100,1,999","SYN08201017 46/// /0708 11019 21033 30103 40127 52004 92100 333 11016 21019 90710 91110=",
