"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AW1","AW2","AW3","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"42080199999","2023-01-03T06:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","350,1,N,0031,1","22000,1,9,N","003000,1,9,9","+0220,1","+0140,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","04,1",,,,"MET051METAR VABV 030630Z 35006KT 3000 FU NSC 22/14 Q1018=",
"42080199999","2023-01-03T07:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","320,1,N,0041,1","22000,1,9,N","003000,1,9,9","+0240,1","+0140,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10170,1,99999,9","04,1",,,,"MET051METAR VABV 030730Z 32008KT 3000 FU NSC 24/14 Q1017=",
"42080199999","2023-01-03T09:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","340,1,N,0067,1","22000,1,9,N","003000,1,9,9","+0250,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10160,1,99999,9","04,1",,,,"MET057METAR VABV 030900Z 34013KT 3000 FU NSC 25/10 Q1016 NOSIG=",
"42080199999","2023-01-04T02:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0046,1","22000,1,9,N","002500,1,9,9","+0170,1","+0110,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET051METAR VABV 040230Z 36009KT 2500 FU NSC 17/11 Q1019=",
"42080199999","2023-01-04T03:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0051,1","22000,1,9,N","002500,1,9,9","+0170,1","+0110,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","04,1",,,,"MET051METAR VABV 040300Z 36010KT 2500 FU NSC 17/11 Q1020=",
"42080199999","2023-01-04T03:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0046,1","22000,1,9,N","003000,1,9,9","+0180,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","04,1",,,,"MET051METAR VABV 040330Z 36009KT 3000 FU NSC 18/10 Q1020=",
"42080199999","2023-01-04T04:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","350,1,N,0051,1","22000,1,9,N","003000,1,9,9","+0190,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","04,1",,,,"MET051METAR VABV 040400Z 35010KT 3000 FU NSC 19/10 Q1020=",
"42080199999","2023-01-04T06:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","360,1,N,0057,1","22000,1,9,N","003000,1,9,9","+0200,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10200,1,99999,9","04,1",,,,"MET057METAR VABV 040600Z 36011KT 3000 FU NSC 20/10 Q1020 NOSIG=",
"42080199999","2023-01-04T06:30:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","350,1,N,0062,1","22000,1,9,N","003000,1,9,9","+0200,1","+0100,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9","04,1",,,,"MET057METAR VABV 040630Z 35012KT 3000 FU NSC 20/10 Q1019 NOSIG=",
"42080199999","2023-01-04T07:00:00","4","21.752206","72.185181","13.41","BHAVNAGAR, IN","FM-15","99999","V020","350,1,N,0057,1","22000,1,9,N","003000,1,9,9","+0210,1","+0090,1","99999,9",,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","04,1",,,,"MET057METAR VABV 040700Z 35011KT 3000 FU NSC 21/09 Q1018 NOSIG=",
