"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"80222599999","2023-01-05T16:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","340,1,N,0046,1","99999,9,9,N","009999,1,9,9","+0280,1","+0200,1","99999,9","04,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02438,1,99,9,99,9","10160,1,99999,9",,,,"MET061METAR SKSA 051600Z 34009KT 9999 SCT080 28/20 Q1016 RMK A3000=",
"80222599999","2023-01-05T19:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","310,1,N,0036,1","99999,9,9,N","009999,1,9,9","+0300,1","+0190,1","99999,9","02,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10120,1,99999,9",,,,"MET061METAR SKSA 051900Z 31007KT 9999 FEW080 30/19 Q1012 RMK A2990=",
"80222599999","2023-01-05T21:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","340,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0280,1","+0200,1","99999,9","02,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02438,1,99,9,99,9","10110,1,99999,9",,,,"MET061METAR SKSA 052100Z 34004KT 9999 FEW080 28/20 Q1011 RMK A2987=",
"80222599999","2023-01-05T23:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","290,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0270,1","+0200,1","99999,9","02,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,02743,1,99,9,99,9","10110,1,99999,9",,,,"MET061METAR SKSA 052300Z 29003KT 9999 FEW090 27/20 Q1011 RMK A2987=",
"80222599999","2023-01-06T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","330,1,N,0015,1","99999,9,9,N","009999,1,9,9","+0210,1","+0180,1","99999,9","04,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02438,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 061100Z 33003KT 9999 SCT080 21/18 Q1013 RMK A2992=",
"80222599999","2023-01-06T12:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","310,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0230,1","+0180,1","99999,9","04,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02438,1,99,9,99,9","10140,1,99999,9",,,,"MET061METAR SKSA 061200Z 31004KT 9999 SCT080 23/18 Q1014 RMK A2995=",
"80222599999","2023-01-06T13:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","340,1,N,0026,1","99999,9,9,N","009999,1,9,9","+0250,1","+0190,1","99999,9","04,1,+02743,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,02743,1,99,9,99,9","10150,1,99999,9","16,5",,,"MET076METAR SKSA 061300Z 34005KT 9999 VCRA SCT090 25/19 Q1015 RMK VCRA/W/SW A2998=","D01      0ADE735"
"80222599999","2023-01-07T11:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","300,1,N,0010,1","99999,9,9,N","009999,1,9,9","+0220,1","+0210,1","99999,9","04,1,+03048,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,03048,1,99,9,99,9","10130,1,99999,9",,,,"MET061METAR SKSA 071100Z 30002KT 9999 SCT100 22/21 Q1013 RMK A2991=",
"80222599999","2023-01-07T17:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","240,1,N,0015,1","01219,1,C,N","009999,1,9,9","+0230,1","+0210,1","99999,9","08,1,+01219,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,01219,1,99,9,99,9","10150,1,99999,9","16,5",,,"MET074METAR SKSA 071700Z 24003KT 9999 VCRA OVC040 23/21 Q1015 RMK VCRA/SW A2998=","D01      0ADE735"
"80222599999","2023-01-08T15:00:00","4","6.95","-71.85","213.0","LOS COLONIZADORES, CO","FM-15","99999","V020","999,9,V,0010,1","02438,1,C,N","009999,1,9,9","+0240,1","+0210,1","99999,9","08,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,08,1,99,9,02438,1,99,9,99,9","10170,1,99999,9",,,,"MET061METAR SKSA 081500Z VRB02KT 9999 OVC080 24/21 Q1017 RMK A3004=",
