"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OC1","OD1","REM","EQD"
"01042099999","2023-12-28T21:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","130,1,N,0100,1","99999,9,9,N","999999,9,9,9","-0048,1","+9999,9","99999,9","240,M,-0044,1","240,N,-0048,1",,"3,99,0140,1,999","SYN05801042 46/// /1310 11048 92100 333 11044 21048 90710 91114=",
"01042099999","2023-12-29T03:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","090,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0047,1","+9999,9","99999,9","240,M,-0040,1","240,N,-0047,1",,"3,99,0030,1,999","SYN05201042 46/// /0902 11047 333 11040 21047 90710 91103=",
"01042099999","2023-12-29T09:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","120,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0071,1","+9999,9","99999,9","240,M,-0060,1","240,N,-0072,1",,"3,99,0090,1,999","SYN05201042 46/// /1207 11071 333 11060 21072 90710 91109=",
"01042099999","2023-12-29T15:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","130,1,N,0120,1","99999,9,9,N","999999,9,9,9","-0080,1","+9999,9","99999,9","240,M,-0064,1","240,N,-0080,1",,"3,99,0140,1,999","SYN05801042 46/// /1312 11080 91500 333 11064 21080 90710 91114=",
"01042099999","2023-12-29T21:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","140,1,N,0100,1","99999,9,9,N","999999,9,9,9","-0073,1","+9999,9","99999,9","240,M,-0071,1","240,N,-0087,1",,"3,99,0160,1,999","SYN05201042 46/// /1410 11073 333 11071 21087 90710 91116=",
"01042099999","2023-12-30T03:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","130,1,N,0170,1","99999,9,9,N","999999,9,9,9","-0100,1","+9999,9","99999,9","240,M,-0094,1","240,N,-0102,1",,"3,99,0240,1,999","SYN05201042 46/// /1317 11100 333 11094 21102 90710 91124=",
"01042099999","2023-12-30T09:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","150,1,N,0180,1","99999,9,9,N","999999,9,9,9","-0086,1","+9999,9","99999,9","240,M,-0086,1","240,N,-0097,1",,"3,99,0210,1,999","SYN05201042 46/// /1518 11086 333 11086 21097 90710 91121=",
"01042099999","2023-12-30T15:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","150,1,N,0130,1","99999,9,9,N","999999,9,9,9","-0093,1","+9999,9","99999,9","240,M,-0086,1","240,N,-0098,1",,"3,99,0220,1,999","SYN05201042 46/// /1513 11093 333 11086 21098 90710 91122=",
"01042099999","2023-12-30T21:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","180,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0096,1","+9999,9","99999,9","240,M,-0088,1","240,N,-0097,1",,"3,99,0120,1,999","SYN05201042 46/// /1807 11096 333 11088 21097 90710 91112=",
"01042099999","2023-12-31T03:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","130,1,N,0090,1","99999,9,9,N","999999,9,9,9","-0081,1","+9999,9","99999,9","240,M,-0061,1","240,N,-0086,1",,"3,99,0110,1,999","SYN05201042 46/// /1309 11081 333 11061 21086 90710 91111=",
"01042099999","2023-12-31T09:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","130,1,N,0100,1","99999,9,9,N","999999,9,9,9","-0076,1","+9999,9","99999,9","240,M,-0058,1","240,N,-0078,1",,"3,99,0140,1,999","SYN05201042 46/// /1310 11076 333 11058 21078 90710 91114=",
"01042099999","2023-12-31T15:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","140,1,N,0060,1","99999,9,9,N","999999,9,9,9","-0083,1","+9999,9","99999,9","240,M,-0076,1","240,N,-0088,1",,"3,99,0090,1,999","SYN05201042 46/// /1406 11083 333 11076 21088 90710 91109=",
"01042099999","2023-12-31T21:00:00","4","70.6","22.45","438.0","HASVIK SLUSKFJELLET, NO","FM-12","99999","V020","150,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0086,1","+9999,9","99999,9","240,M,-0080,1","240,N,-0086,1",,"3,99,0050,1,999","SYN05801042 46/// /1504 11086 92100 333 11080 21086 90710 91105=",
