"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"43410099999","2023-01-03T03:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0026,1","22000,1,9,N","020000,1,9,9","+0276,1","+0226,1","10164,1","03,0000,9,1","24,0000,9,1",,,"03,1,+00540,1,08,1","99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00540,1,99,9,99,9","240,N,+0235,1",,"99999,9,10160,1","9,9,999,9,+002,1",,"SYN08243410 22470 3//05 10276 20226 30160 40164 83101 333 20235 58002 60007 70000 83818=",
"43410099999","2023-01-03T06:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0021,1","22000,1,9,N","020000,1,9,9","+0288,1","+0220,1","10154,1","03,0000,9,1","24,0000,9,1",,,"03,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,00540,1,99,9,99,9",,,"99999,9,10150,1","9,9,999,9,-004,1",,"SYN07643410 22470 3//04 10288 20220 30150 40154 83100 333 59004 60007 70000 83818=",
"43410099999","2023-01-03T09:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","22000,1,9,N","020000,1,9,9","+0288,1","+0217,1","10126,1","03,0000,9,1","24,0000,9,1",,,"02,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,00540,1,99,9,99,9",,,"99999,9,10123,1","9,9,999,9,-004,1",,"SYN07643410 22470 2//06 10288 20217 30123 40126 82100 333 59004 60007 70000 82818=",
"43410099999","2023-01-03T12:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","22000,1,9,N","020000,1,9,9","+0276,1","+0240,1","10129,1","03,0000,9,1",,,,"01,1,+00540,1,08,1","01,1,+00600,1,09,1",,,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,00540,1,99,9,99,9","240,M,+0292,1",,"99999,9,10125,1","9,9,999,9,-003,1",,"SYN08843410 22470 3//07 10276 20240 30125 40129 81301 333 00024 10292 59003 60007 81818 81920=",
"43410099999","2023-01-03T15:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0041,1","22000,1,9,N","020000,1,9,9","+0271,1","+0215,1","10151,1","03,0000,9,1",,,,"01,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00540,1,99,9,99,9",,,"99999,9,10148,1","9,9,999,9,-003,1",,"SYN07043410 22470 1//08 10271 20215 30148 40151 81100 333 59003 60007 81818=",
"43410099999","2023-01-04T00:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","99999,9,9,N","020000,1,9,9","+0264,1","+0196,1","10137,1","03,0000,9,1",,,,,,,,,,,,"99999,9,10134,1","9,9,999,9,-002,1",,"SYN05843410 22970 0//07 10264 20196 30134 40137 333 59002 60007=",
"43410099999","2023-01-04T03:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0041,1","22000,1,9,N","020000,1,9,9","+0274,1","+0194,1","10158,1","03,0000,9,1","24,0000,9,1",,,"01,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00540,1,99,9,99,9","240,N,+0262,1",,"99999,9,10154,1","9,9,999,9,-006,1",,"SYN08243410 22470 1//08 10274 20194 30154 40158 81100 333 20262 59006 60007 70000 81818=",
"43410099999","2023-01-04T06:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0021,1","22000,1,9,N","020000,1,9,9","+0288,1","+0200,1","10146,1","03,0000,9,1","24,0000,9,1",,,"01,1,+00540,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00540,1,99,9,99,9",,,"99999,9,10143,1","9,9,999,9,-008,1",,"SYN07643410 22470 1//04 10288 20200 30143 40146 81100 333 59008 60007 70000 81818=",
"43410099999","2023-01-04T09:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0031,1","99999,9,C,N","020000,1,9,9","+0278,1","+0209,1","10116,1","03,0000,9,1",,,,"03,1,+00540,1,08,1","02,1,+00600,1,09,1",,,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,00540,1,99,9,99,9",,,"99999,9,10113,1","9,9,999,9,-010,1",,"SYN07643410 22470 4//06 10278 20209 30113 40116 83301 333 59010 60007 83818 82920=","Q01 006003SCOCIG"
"43410099999","2023-01-04T12:00:00","4","9.2666666","80.8166666","2.0","MULLAITTIVU, CE","FM-12","99999","V020","999,9,N,0036,1","22000,1,9,N","020000,1,9,9","+0273,1","+0213,1","10116,1","03,0000,9,1",,,,"03,1,+00540,1,08,1","01,1,+00600,1,09,1",,,"9,AGL   ,+99999,+99999","04,99,1,03,1,99,9,00540,1,99,9,99,9","240,M,+0290,1",,"99999,9,10113,1","9,9,999,9,-036,1",,"SYN08843410 22470 4//07 10273 20213 30113 40116 83301 333 00024 10290 59036 60007 83818 81920=",
