"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OD1","REM"
"99734299999","2023-01-01T21:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","260,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0066,1","+9999,9","99999,9","5,99,0046,1,999","SYN040MLWW3 46/// /2607 10066 92040 333 91209="
"99734299999","2023-01-01T22:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","230,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0056,1","+9999,9","99999,9","5,99,0041,1,999","SYN040MLWW3 46/// /2307 10056 92140 333 91208="
"99734299999","2023-01-01T23:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","250,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0046,1","+9999,9","99999,9","5,99,0041,1,999","SYN040MLWW3 46/// /2506 10046 92240 333 91208="
"99734299999","2023-01-02T00:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","250,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0031,1","+9999,9","99999,9","5,99,0031,1,999","SYN040MLWW3 46/// /2505 10031 92340 333 91206="
"99734299999","2023-01-02T01:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","270,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0023,1","+9999,9","99999,9","5,99,0041,1,999","SYN040MLWW3 46/// /2706 10023 90040 333 91208="
"99734299999","2023-01-02T02:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","260,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0025,1","+9999,9","99999,9","5,99,0041,1,999","SYN040MLWW3 46/// /2607 10025 90140 333 91208="
"99734299999","2023-01-02T03:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","240,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0028,1","+9999,9","99999,9","5,99,0046,1,999","SYN040MLWW3 46/// /2407 10028 90240 333 91209="
"99734299999","2023-01-02T04:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","260,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0030,1","+9999,9","99999,9","5,99,0036,1,999","SYN040MLWW3 46/// /2606 10030 90340 333 91207="
"99734299999","2023-01-02T05:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","270,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0032,1","+9999,9","99999,9","5,99,0036,1,999","SYN040MLWW3 46/// /2705 10032 90440 333 91207="
"99734299999","2023-01-02T06:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","290,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0033,1","+9999,9","99999,9","5,99,0031,1,999","SYN040MLWW3 46/// /2904 10033 90540 333 91206="
"99734299999","2023-01-02T07:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","290,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0033,1","+9999,9","99999,9","5,99,0026,1,999","SYN040MLWW3 46/// /2903 10033 90640 333 91205="
"99734299999","2023-01-02T08:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","310,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0033,1","+9999,9","99999,9","5,99,0036,1,999","SYN040MLWW3 46/// /3105 10033 90740 333 91207="
"99734299999","2023-01-02T09:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","320,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0031,1","+9999,9","99999,9","5,99,0015,1,999","SYN040MLWW3 46/// /3203 10031 90840 333 91203="
"99734299999","2023-01-02T10:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","360,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0027,1","+9999,9","99999,9","5,99,0015,1,999","SYN040MLWW3 46/// /3603 10027 90940 333 91203="
"99734299999","2023-01-02T11:00:00","4","43.05","-87.88","188.0","MILWAUKEE, WI US","FM-13","99999","V020","160,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0019,1","+9999,9","99999,9","5,99,0015,1,999","SYN040MLWW3 46/// /1603 10019 91040 333 91203="
