"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AW1","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","OD1","REM","EQD"
"03305099999","2023-01-01T00:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","240,1,N,0139,1","00330,1,9,N","018000,1,9,9","+0075,1","+0054,1","09955,1","01,0010,3,1","06,0130,3,1",,,"61,1","08,1,+00330,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00330,1,99,9,99,9",,,"99999,9,09697,1","3,1,004,1,+999,9","4,99,0185,1,999","SYN10003305 07468 82427 10075 20054 39697 49955 53004 60131 761// 88/// 333 60015 88/11 91036 90710 91147=",
"03305099999","2023-01-01T01:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","240,1,N,0139,1","00570,1,9,N","070001,1,9,9","+0072,1","+0044,1","09973,1","01,0010,3,1",,,,,"08,1,+00570,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00570,1,99,9,99,9",,,"99999,9,09714,1","3,1,021,1,+999,9","4,99,0211,1,999","SYN08803305 26489 82427 10072 20044 39714 49973 53021 88/// 333 60015 88/19 91041 90710 91141=",
"03305099999","2023-01-01T02:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0118,1","00360,1,9,N","050000,1,9,9","+0072,1","+0050,1","09979,1","01,0000,9,1",,,,,"08,1,+00360,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00360,1,99,9,99,9",,,"99999,9,09720,1","3,1,029,1,+999,9","4,99,0154,1,999","SYN08803305 26484 82323 10072 20050 39720 49979 53029 88/// 333 60005 88/12 91030 90710 91135=",
"03305099999","2023-01-01T03:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0124,1","00270,1,9,N","003400,1,9,9","+0067,1","+0054,1","09988,1","01,0008,3,1",,,,"61,1","08,1,+00270,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00270,1,99,9,99,9",,,"99999,9,09728,1","1,1,030,1,+999,9","4,99,0170,1,999","SYN09403305 27334 82324 10067 20054 39728 49988 51030 761// 88/// 333 69985 88/09 91033 90710 91133=",
"03305099999","2023-01-01T04:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0124,1","00390,1,9,N","045000,1,9,9","+0070,1","+0051,1","09988,1","01,0002,3,1",,,,,"08,1,+00390,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00390,1,99,9,99,9",,,"99999,9,09729,1","1,1,015,1,+999,9","4,99,0154,1,999","SYN08803305 26483 82324 10070 20051 39729 49988 51015 88/// 333 69925 88/13 91030 90710 91131=",
"03305099999","2023-01-01T05:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0113,1","00420,1,9,N","070001,1,9,9","+0061,1","+0042,1","09994,1","01,0020,3,1",,,,"60,1","08,1,+00420,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00420,1,99,9,99,9",,,"99999,9,09734,1","1,1,015,1,+999,9","4,99,0149,1,999","SYN09403305 27489 82322 10061 20042 39734 49994 51015 760// 88/// 333 60025 88/14 91029 90710 91138=",
"03305099999","2023-01-01T06:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","220,1,N,0088,1","00540,1,9,N","018000,1,9,9","+0069,1","+0047,1","09996,1","01,0000,9,1","12,0180,3,1","24,0414,3,1",,"61,1","08,1,+00540,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00540,1,99,9,99,9","240,M,+0086,1","240,N,+0059,1","99999,9,09736,1","3,1,008,1,+999,9","4,99,0113,1,999","SYN12403305 07468 82217 10069 20047 39736 49996 53008 60182 761// 88/// 333 10086 20059 3/005 60005 70414 88/18 91022 90710 91131=",
"03305099999","2023-01-01T07:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0103,1","00420,1,9,N","001900,1,9,9","+0059,1","+0044,1","10009,1","01,0030,3,1",,,,"63,1","08,1,+00420,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00420,1,99,9,99,9",,,"99999,9,09748,1","3,1,019,1,+999,9","4,99,0129,1,999","SYN09403305 27419 82320 10059 20044 39748 40009 53019 763// 88/// 333 60035 88/14 91025 90710 91133=",
"03305099999","2023-01-01T08:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","240,1,N,0088,1","00450,1,9,N","004400,1,9,9","+0056,1","+0038,1","10016,1","01,0040,3,1",,,,"63,1","08,1,+00450,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,,"99999,9,09754,1","3,1,019,1,+999,9","4,99,0129,1,999","SYN09403305 27444 82417 10056 20038 39754 40016 53019 763// 88/// 333 60045 88/15 91025 90710 91129=",
"03305099999","2023-01-01T09:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","220,1,N,0077,1","00660,1,9,N","070001,1,9,9","+0062,1","+0042,1","10018,1","01,0008,3,1","12,0160,3,1",,,,"08,1,+00660,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00660,1,99,9,99,9","240,M,+0086,1","240,N,+0053,1","99999,9,09757,1","1,1,020,1,+999,9","4,99,0098,1,999","SYN10603305 06589 82215 10062 20042 39757 40018 51020 60162 88/// 333 10086 20053 69985 88/22 91019 90710 91134=",
"03305099999","2023-01-01T10:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","260,1,N,0051,1","00360,1,9,N","022000,1,9,9","+0058,1","+0049,1","10020,1","01,0000,9,1",,,,"40,1","08,1,+00360,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00360,1,99,9,99,9",,,"99999,9,09759,1","3,1,010,1,+999,9","4,99,0062,1,999","SYN09403305 27472 82610 10058 20049 39759 40020 53010 740// 88/// 333 60005 88/12 91012 90710 91119=",
"03305099999","2023-01-01T11:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0124,1","00600,1,9,N","035000,1,9,9","+0074,1","+0044,1","10022,1","01,0004,3,1",,,,,"08,1,+00600,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00600,1,99,9,99,9",,,"99999,9,09762,1","3,1,009,1,+999,9","4,99,0196,1,999","SYN08803305 26581 82324 10074 20044 39762 40022 53009 88/// 333 69945 88/20 91038 90710 91138=",
"03305099999","2023-01-01T12:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0108,1","00570,1,9,N","030000,1,9,9","+0077,1","+0047,1","10030,1","01,0000,9,1","06,0090,3,1",,,,"08,1,+00570,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00570,1,99,9,99,9",,,"99999,9,09770,1","3,1,013,1,+999,9","4,99,0165,1,999","SYN09403305 05480 82321 10077 20047 39770 40030 53013 60091 88/// 333 60005 88/19 91032 90710 91133=",
"03305099999","2023-01-01T13:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0118,1","00450,1,9,N","003200,1,9,9","+0071,1","+0050,1","10028,1","01,0008,3,1",,,,"63,1","08,1,+00450,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00450,1,99,9,99,9",,,"99999,9,09768,1","9,9,010,1,+999,9","4,99,0185,1,999","SYN09403305 27432 82323 10071 20050 39768 40028 50010 763// 88/// 333 69985 88/15 91036 90710 91136=",
"03305099999","2023-01-01T14:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","220,1,N,0108,1","00540,1,9,N","022000,1,9,9","+0074,1","+0053,1","10032,1","01,0002,3,1",,,,,"01,1,+00390,1,99,9","08,1,+00540,1,99,9",,"9,AGL   ,+99999,+99999","08,99,1,01,1,99,9,00390,1,99,9,99,9",,,"99999,9,09772,1","1,1,009,1,+999,9","4,99,0154,1,999","SYN09403305 26472 82221 10074 20053 39772 40032 51009 88/// 333 69925 81/13 88/18 91030 90710 91132=",
"03305099999","2023-01-01T15:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","220,1,N,0098,1","00510,1,9,N","020000,1,9,9","+0076,1","+0059,1","10033,1","01,0002,3,1",,,,"60,1","08,1,+00510,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00510,1,99,9,99,9",,,"99999,9,09773,1","3,1,003,1,+999,9","4,99,0134,1,999","SYN09403305 27470 82219 10076 20059 39773 40033 53003 760// 88/// 333 69925 88/17 91026 90710 91129=",
"03305099999","2023-01-01T16:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","230,1,N,0093,1","00630,1,9,N","030000,1,9,9","+0081,1","+0054,1","10034,1","01,0002,3,1",,,,,"08,1,+00630,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00630,1,99,9,99,9",,,"99999,9,09774,1","2,1,005,1,+999,9","4,99,0129,1,999","SYN08803305 26580 82318 10081 20054 39774 40034 52005 88/// 333 69925 88/21 91025 90710 91125=",
"03305099999","2023-01-01T17:00:00","4","53.1","-3.9333333","215.0","CAPEL CURIG NUMBER 3, UK","FM-12","99999","V020","240,1,N,0077,1","00630,1,9,N","030000,1,9,9","+0077,1","+0052,1","10036,1","01,0002,3,1",,,,"51,1","08,1,+00630,1,99,9",,,"9,AGL   ,+99999,+99999","08,99,1,08,1,99,9,00630,1,99,9,99,9",,,"99999,9,09776,1","3,1,003,1,+999,9","4,99,0098,1,999","SYN09403305 27580 82415 10077 20052 39776 40036 53003 751// 88/// 333 69925 88/21 91019 90710 91123=",
