"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM","EQD"
"62463999999","2023-10-30T15:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","140,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0290,1","+0150,1","99999,9",,,,,,,"10110,1,99999,9",,"MET051METAR HESH 301500Z 14004KT CAVOK 29/15 Q1011 NOSIG=",
"62463999999","2023-10-30T16:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","150,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0160,1","99999,9",,,,,,,"10110,1,99999,9",,"MET051METAR HESH 301600Z 15005KT CAVOK 28/16 Q1011 NOSIG=",
"62463999999","2023-10-30T17:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","120,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0160,1","99999,9",,,,,,,"10110,1,99999,9",,"MET051METAR HESH 301700Z 12004KT CAVOK 28/16 Q1011 NOSIG=",
"62463999999","2023-10-30T18:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","170,1,N,0015,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0140,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 301800Z 17003KT CAVOK 28/14 Q1012 NOSIG=",
"62463999999","2023-10-30T19:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","190,1,N,0015,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0140,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 301900Z 19003KT CAVOK 28/14 Q1012 NOSIG=",
"62463999999","2023-10-30T20:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","220,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0140,1","99999,9",,,,,,,"10130,1,99999,9",,"MET051METAR HESH 302000Z 22002KT CAVOK 28/14 Q1013 NOSIG=",
"62463999999","2023-10-30T21:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","290,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0140,1","99999,9",,,,,,,"10130,1,99999,9",,"MET051METAR HESH 302100Z 29002KT CAVOK 26/14 Q1013 NOSIG=",
"62463999999","2023-10-30T22:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","340,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0200,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 302200Z 34004KT CAVOK 26/20 Q1012 NOSIG=",
"62463999999","2023-10-30T23:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","340,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0190,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 302300Z 34004KT CAVOK 25/19 Q1012 NOSIG=",
"62463999999","2023-10-31T00:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","330,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0170,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 310000Z 33004KT CAVOK 25/17 Q1012 NOSIG=",
"62463999999","2023-10-31T01:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","310,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0240,1","+0180,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 310100Z 31004KT CAVOK 24/18 Q1012 NOSIG=",
"62463999999","2023-10-31T02:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","330,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0240,1","+0160,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 310200Z 33004KT CAVOK 24/16 Q1012 NOSIG=",
"62463999999","2023-10-31T03:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","290,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0150,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 310300Z 29005KT CAVOK 25/15 Q1012 NOSIG=",
"62463999999","2023-10-31T04:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","300,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0150,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 310400Z 30004KT CAVOK 25/15 Q1012 NOSIG=",
"62463999999","2023-10-31T05:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","350,1,N,0015,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0160,1","99999,9",,,,,,,"10130,1,99999,9",,"MET051METAR HESH 310500Z 35003KT CAVOK 25/16 Q1013 NOSIG=",
"62463999999","2023-10-31T06:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","340,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0290,1","+0170,1","99999,9",,,,,,,"10140,1,99999,9",,"MET051METAR HESH 310600Z 34006KT CAVOK 29/17 Q1014 NOSIG=",
"62463999999","2023-10-31T07:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","020,1,N,0036,1","99999,9,9,Y","009900,5,9,9","+0300,1","+0160,1","99999,9",,,,,,,"10140,1,99999,9",,"MET051METAR HESH 310700Z 02007KT CAVOK 30/16 Q1014 NOSIG=",
"62463999999","2023-10-31T08:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","030,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0320,1","+0160,1","99999,9",,,,,,,"10130,1,99999,9",,"MET051METAR HESH 310800Z 03006KT CAVOK 32/16 Q1013 NOSIG=",
"62463999999","2023-10-31T10:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","080,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0330,1","+0150,1","99999,9",,,,,,,"10120,1,99999,9",,"MET045METAR HESH 311000Z 08006KT CAVOK 33/15 Q1012=",
"62463999999","2023-10-31T11:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","080,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0330,1","+0140,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 311100Z 08006KT CAVOK 33/14 Q1012 NOSIG=",
"62463999999","2023-10-31T12:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","140,1,N,0036,1","99999,9,9,Y","009900,5,9,9","+0320,1","+0170,1","99999,9",,,,,,,"10110,1,99999,9",,"MET051METAR HESH 311200Z 14007KT CAVOK 32/17 Q1011 NOSIG=",
"62463999999","2023-10-31T14:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","160,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0290,1","+0180,1","99999,9",,,,,,,"10110,1,99999,9",,"MET051METAR HESH 311400Z 16006KT CAVOK 29/18 Q1011 NOSIG=",
"62463999999","2023-10-31T15:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","170,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0290,1","+0180,1","99999,9",,,,,,,"10110,1,99999,9",,"MET051METAR HESH 311500Z 17004KT CAVOK 29/18 Q1011 NOSIG=",
"62463999999","2023-10-31T16:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","160,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0180,1","99999,9",,,,,,,"10110,1,99999,9",,"MET051METAR HESH 311600Z 16006KT CAVOK 28/18 Q1011 NOSIG=",
"62463999999","2023-10-31T17:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","150,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0170,1","99999,9",,,,,,,"10110,1,99999,9",,"MET051METAR HESH 311700Z 15004KT CAVOK 28/17 Q1011 NOSIG=",
"62463999999","2023-10-31T18:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","200,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0280,1","+0180,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 311800Z 20004KT CAVOK 28/18 Q1012 NOSIG=",
"62463999999","2023-10-31T19:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","220,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0180,1","99999,9",,,,,,,"10130,1,99999,9",,"MET051METAR HESH 311900Z 22002KT CAVOK 27/18 Q1013 NOSIG=",
"62463999999","2023-10-31T20:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","210,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0270,1","+0190,1","99999,9",,,,,,,"10130,1,99999,9",,"MET051METAR HESH 312000Z 21005KT CAVOK 27/19 Q1013 NOSIG=",
"62463999999","2023-10-31T21:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","280,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0170,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 312100Z 28002KT CAVOK 26/17 Q1012 NOSIG=",
"62463999999","2023-10-31T22:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","260,1,N,0010,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0170,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 312200Z 26002KT CAVOK 26/17 Q1012 NOSIG=",
"62463999999","2023-10-31T23:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","270,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0160,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 312300Z 27004KT CAVOK 25/16 Q1012 NOSIG=",
"62463999999","2023-11-01T00:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","010,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0160,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 010000Z 01005KT CAVOK 25/16 Q1012 NOSIG=",
"62463999999","2023-11-01T01:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","350,1,N,0021,1","99999,9,9,Y","009900,5,9,9","+0250,1","+0150,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 010100Z 35004KT CAVOK 25/15 Q1012 NOSIG=",
"62463999999","2023-11-01T02:00:00","4","27.967","34.383","45.0","SHARM EL SHEIKH INT, EG","FM-15","99999","V020","330,1,N,0031,1","99999,9,9,Y","009900,5,9,9","+0240,1","+0150,1","99999,9",,,,,,,"10120,1,99999,9",,"MET051METAR HESH 010200Z 33006KT CAVOK 24/15 Q1012 NOSIG=",
