"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","KA1","KA2","MA1","MD1","OC1","OD1","REM"
"81901099999","2023-01-01T17:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","149,1,N,0025,1","99999,9,9,9","999999,9,9,9","+0332,1","+0192,1","10096,1","99,9999,9,9","120,M,+0339,1","120,N,+0327,1","99999,9,09880,1","7,1,999,9,+999,9","0057,1","3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T18:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","073,1,N,0022,1","99999,9,9,9","999999,9,9,9","+0337,1","+0194,1","10085,1","99,9999,9,9","120,M,+0342,1","120,N,+0332,1","99999,9,09870,1","7,1,999,9,+999,9","0056,1","3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T19:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","016,1,N,0047,1","99999,9,9,9","999999,9,9,9","+0300,1","+0219,1","10087,1","99,9999,9,9","120,M,+0343,1","120,N,+0299,1","99999,9,09869,1","7,1,999,9,+999,9","0075,1","3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T20:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","006,1,N,0023,1","99999,9,9,9","999999,9,9,9","+0290,1","+0221,1","10083,1","99,9999,9,9","120,M,+0299,1","120,N,+0290,1","99999,9,09865,1","7,1,999,9,+999,9","0073,1","3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T21:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","315,1,N,0018,1","99999,9,9,9","999999,9,9,9","+0290,1","+0228,1","10089,1","99,9999,9,9","120,M,+0293,1","120,N,+0288,1","99999,9,09871,1",,,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T22:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","015,1,N,0008,1","99999,9,9,9","999999,9,9,9","+0280,1","+0228,1","10095,1","99,9999,9,9","120,M,+0290,1","120,N,+0280,1","99999,9,09876,1",,,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-01T23:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0275,1","+0222,1","10105,1","99,9999,9,9","120,M,+0280,1","120,N,+0274,1","99999,9,09885,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T00:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","027,1,N,0002,1","99999,9,9,9","999999,9,9,9","+0270,1","+0229,1","99999,9","99,9999,9,9","120,M,+0274,1","120,N,+0270,1","99999,9,09893,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T01:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0262,1","+0231,1","99999,9","99,9999,9,9","120,M,+0271,1","120,N,+0263,1","99999,9,09899,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
"81901099999","2023-01-02T02:00:00","4","-7.3333333","-47.4666666","193.5","CAROLINA, BR","FM-14","99999","V020","066,1,N,0006,1","99999,9,9,9","999999,9,9,9","+0260,1","+0228,1","10122,1","99,9999,9,9","120,M,+0264,1","120,N,+0258,1","99999,9,09901,1","2,1,999,9,+999,9",,"3,99,9999,9,999","SYN004BUFR"
