"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"40718099999","2023-01-01T00:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","280,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0080,1","+0064,1","10308,1","06,0000,9,1","24,0000,9,1",,,,,,,,,,,"99999,9,10337,1","3,1,007,1,+999,9",,"SYN08040718 12960 02801 10080 20064 30337 40308 53007 60001 333 70000 555 10073 29090=",
"40718099999","2023-01-01T03:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","270,1,N,0020,1","99999,9,9,N","010000,1,9,9","+0087,1","+0060,1","10322,1","24,0000,9,1",,,,,,,,,,"240,M,+0090,1","240,N,+0069,1","99999,9,10351,1","3,1,014,1,+999,9",,"SYN12840718 42960 02702 10087 20060 30351 40322 53014 333 10090 20069 70000 555 10075 29083 66666 00088 10096 20104 30106 50124 90146=",
"40718099999","2023-01-01T06:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","280,1,N,0020,1","99999,9,9,N","008000,1,9,9","+0105,1","+0057,1","10340,1","06,0000,9,1",,"2,1,02,1","0,1,02,1","06,1,+00450,1,09,1","99,9,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","07,99,1,06,1,99,9,00450,1,99,9,99,9",,,"99999,9,10369,1","2,1,018,1,+999,9","05,1","SYN14140718 11458 72802 10105 20057 30369 40340 52018 60001 70520 86370 222// 0//// 20301 333 31104 5004 1 70000 81915 85620 85357 555 10083 29072=",
"40718099999","2023-01-01T09:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","030,1,N,0020,1","99999,9,9,N","010000,1,9,9","+0143,1","+0071,1","10327,1","24,0000,9,1",,,,,,,,,,,,"99999,9,10356,1","8,1,013,1,+999,9",,"SYN11640718 42960 00302 10143 20071 30356 40327 58013 333 70000 555 10108 29062 66666 00100 10102 20102 30108 50124 90144=",
"40718099999","2023-01-01T12:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","050,1,N,0030,1","99999,9,9,N","010000,1,9,9","+0155,1","+0087,1","10327,1","06,0000,9,1","24,0000,9,1",,,,,,,,,,,"99999,9,10356,1","4,1,000,1,+999,9",,"SYN09840718 12960 00503 10155 20087 30356 40327 54000 60001 222// 0//// 20301 333 70000 555 10121 29064=",
"40718099999","2023-01-01T15:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","010000,1,9,9","+0088,1","+0074,1","10337,1","24,0000,9,1",,,,,,,,,,"240,M,+0156,1","240,N,+0085,1","99999,9,10366,1","2,1,010,1,+999,9",,"SYN12840718 42960 00000 10088 20074 30366 40337 52010 333 10156 20085 70000 555 10082 29091 66666 00102 10104 20106 30114 50124 90146=",
"40718099999","2023-01-01T18:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","220,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0089,1","+0072,1","10338,1","06,0000,9,1","24,0000,9,1",,,,,,,,,,,"99999,9,10367,1","9,9,001,1,+999,9",,"SYN09240718 12960 02201 10089 20072 30367 40338 50001 60001 333 55061 20834 70000 555 10081 29089=",
"40718099999","2023-01-01T21:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","010000,1,9,9","+0062,1","+0053,1","10324,1","24,0000,9,1",,,,,,,,,,,,"99999,9,10353,1","7,1,014,1,+999,9",,"SYN08040718 42960 00000 10062 20053 30353 40324 57014 333 70000 555 10058 29094 30204=",
"40718099999","2023-01-02T00:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","170,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0057,1","+0051,1","10323,1","06,0000,9,1","24,0000,9,1",,,,,,,,,,,"99999,9,10352,1","5,1,001,1,+999,9",,"SYN08040718 12960 01701 10057 20051 30352 40323 55001 60001 333 70000 555 10054 29096=",
"40718099999","2023-01-02T03:00:00","4","37.4666666","49.4666666","-26.0","ANZALI, IR","FM-12","99999","V020","150,1,N,0010,1","99999,9,9,N","008000,1,9,9","+0038,1","+0032,1","10318,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,,,"240,M,+0097,1","240,N,+0037,1","99999,9,10348,1","5,1,004,1,+999,9","10,1","SYN13440718 41958 01501 10038 20032 30348 40318 55004 71000 333 10097 20037 70000 555 10036 29096 66666 00080 10090 20098 30106 50122 90142=",
