"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AL1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GA5","GE1","GF1","GG1","GG2","IA1","IA2","KA1","MA1","MD1","ME1","MW1","OC1","OD1","OD2","REM","EQD"
"11933099999","2023-01-01T12:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","070001,1,9,9","+0132,1","+0012,1","99999,9","06,0000,9,1",,,,,,,,,"01,1,+03000,1,03,1","03,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,03000,1,99,9,99,9",,,,,,"99999,9,08748,1","8,1,008,1,+999,9","3,1568,9",,,,,"SYN07611933 12989 39901 10132 20012 38748 48568 58008 60001 81041 333 81360 83070=",
"11933099999","2023-01-01T13:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","070001,1,9,9","+0125,1","+0012,1","99999,9",,,,,,,,,,"01,1,+03000,1,03,1","03,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,03000,1,99,9,99,9",,,,,,"99999,9,08748,1",,"3,1568,9",,,,,"SYN06411933 42989 39901 10125 20012 38748 48568 81041 333 81360 83070=",
"11933099999","2023-01-01T14:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","070001,1,9,9","+0112,1","+0017,1","99999,9",,,,,,,,,,"01,1,+03000,1,03,1","05,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","05,99,1,01,1,99,9,03000,1,99,9,99,9",,,,,,"99999,9,08752,1",,"3,1571,9",,,,,"SYN06411933 42989 59901 10112 20017 38752 48571 81042 333 81360 85070=",
"11933099999","2023-01-01T15:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","06000,1,C,N","070001,1,9,9","+0096,1","+0013,1","99999,9",,,,,,,,,,"01,1,+03000,1,03,1","05,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","05,99,1,01,1,99,9,03000,1,99,9,99,9",,,,,,"99999,9,08755,1","3,1,007,1,+999,9","3,1572,9",,,,,"SYN07011933 42989 59901 10096 20013 38755 48572 53007 81041 333 81360 85070=",
"11933099999","2023-01-01T16:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","070001,1,9,9","+0091,1","+0008,1","99999,9",,,,,,,,,,"01,1,+03000,1,03,1","03,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","03,99,1,01,1,99,9,03000,1,99,9,99,9",,,,,,"99999,9,08758,1",,"3,1574,9",,,,,"SYN06411933 42989 39901 10091 20008 38758 48574 81041 333 81360 83070=",
"11933099999","2023-01-01T17:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","070001,1,9,9","+0083,1","+0005,1","99999,9",,,,,,,,,,"02,1,+06000,1,00,1",,,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,06000,1,99,9,99,9",,,,,,"99999,9,08758,1",,"3,1574,9",,,,,"SYN05811933 42989 29901 10083 20005 38758 48574 80001 333 82070=",
"11933099999","2023-01-01T18:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","060000,1,9,9","+0072,1","+0004,1","99999,9","12,0000,9,1",,,"9999,9,9,999999,9,9",,,,,,"02,1,+06000,1,00,1",,,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,06000,1,99,9,99,9",,,"25,9",,"120,M,+0138,1","99999,9,08761,1","2,1,006,1,+999,9","3,1576,9",,,,,"SYN08211933 12986 29901 10072 20004 38761 48576 52006 60002 80001 333 10138 41998 82070=",
"11933099999","2023-01-01T19:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0020,1","22000,1,9,N","060000,1,9,9","+0074,1","+0008,1","99999,9",,,,,,,,,,"01,1,+06000,1,00,1",,,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,06000,1,99,9,99,9",,,,,,"99999,9,08760,1",,"3,1575,9",,,,,"SYN05811933 42986 19902 10074 20008 38760 48575 80001 333 81070=",
"11933099999","2023-01-01T20:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","22000,1,9,N","060000,1,9,9","+0075,1","+0005,1","99999,9",,,,,,,,,,"01,1,+00300,1,07,1","99,9,+99999,9,00,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00300,1,99,9,99,9",,,,,,"99999,9,08757,1",,"3,1572,9",,,,,"SYN07411933 42486 19901 10075 20005 38757 48572 81601 333 81710 9513/ 444 27072=",
"11933099999","2023-01-01T21:00:00","4","49.1166666","20.0833333","1356.0","STRBSKE PLESO, LO","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0063,1","-0004,1","99999,9",,,,,,,,,,,,,,,,,,,,,,"99999,9,08758,1","7,1,003,1,+999,9","3,1572,9",,,,,"SYN04811933 46/// /9901 10063 21004 38758 48572 57003=",
