"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","MA1","MD1","REM","EQD"
"06009099999","2023-01-03T03:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0066,1","+0030,1","10042,1","01,0700,3,2","03,0000,9,2","99999,9,09945,1","7,1,999,9,+999,9","SYN06406009 069// /9902 10066 20030 39945 40042 57/// 60705 333 60007=",
"06009099999","2023-01-03T06:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0070,1","+0034,1","10018,1","01,0700,3,2","03,0000,9,2","99999,9,09921,1","7,1,999,9,+999,9","SYN06406009 069// /9902 10070 20034 39921 40018 57/// 60705 333 60007=",
"06009099999","2023-01-03T09:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0067,1","+0031,1","09994,1","01,0700,3,2","03,0000,9,2","99999,9,09897,1","7,1,999,9,+999,9","SYN06406009 069// /9902 10067 20031 39897 49994 57/// 60705 333 60007=",
"06009099999","2023-01-03T12:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0064,1","+0032,1","09973,1","01,0700,3,2","03,0000,9,2","99999,9,09876,1","7,1,999,9,+999,9","SYN06406009 069// /9902 10064 20032 39876 49973 57/// 60705 333 60007=",
"06009099999","2023-01-03T15:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0057,1","+0047,1","09949,1","01,0700,3,2","03,0000,9,2","99999,9,09852,1","7,1,999,9,+999,9","SYN06406009 069// /9902 10057 20047 39852 49949 57/// 60705 333 60007=",
"06009099999","2023-01-03T18:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0068,1","+0064,1","09939,1","01,0700,3,2","03,0000,9,2","99999,9,09842,1","6,1,999,9,+999,9","SYN06406009 069// /9902 10068 20064 39842 49939 56/// 60705 333 60007=",
"06009099999","2023-01-03T21:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0072,1","+0060,1","09942,1","03,0000,9,1",,"99999,9,09845,1","2,1,999,9,+999,9","SYN05406009 169// /9902 10072 20060 39845 49942 52/// 60007=",
"06009099999","2023-01-04T00:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0066,1","+0062,1","09942,1","01,0700,3,2","03,0000,9,2","99999,9,09845,1","4,1,999,9,+999,9","SYN06406009 069// /9902 10066 20062 39845 49942 54/// 60705 333 60007=",
"06009099999","2023-01-04T03:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0067,1","+0057,1","09943,1","01,0700,3,2","03,0000,9,2","99999,9,09847,1","2,1,999,9,+999,9","SYN06406009 069// /9902 10067 20057 39847 49943 52/// 60705 333 60007=",
"06009099999","2023-01-04T06:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0066,1","+0055,1","09941,1","01,0700,3,2","03,0000,9,2","99999,9,09845,1","7,1,999,9,+999,9","SYN06406009 069// /9902 10066 20055 39845 49941 57/// 60705 333 60007=",
"06009099999","2023-01-04T09:00:00","4","61.4","-6.6666666","102.0","AKRABERG, DA","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","+0060,1","+0045,1","09955,1","01,0700,3,2","03,0000,9,2","99999,9,09858,1","2,1,999,9,+999,9","SYN06406009 069// /9902 10060 20045 39858 49955 52/// 60705 333 60007=",
