"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"78486599999","2023-01-01T19:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","360,1,N,0026,1","99999,9,9,N","009999,1,9,9","+0300,1","+0220,1","99999,9","04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10160,1,99999,9",,,,"MET051METAR MDJB 011900Z 36005KT 9999 SCT020 30/22 Q1016=",
"78486599999","2023-01-01T20:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","360,1,N,0051,1","99999,9,9,N","009999,1,9,9","+0310,1","+0210,1","99999,9","02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10150,1,99999,9",,,,"MET051METAR MDJB 012000Z 36010KT 9999 FEW020 31/21 Q1015=",
"78486599999","2023-01-01T21:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","360,1,N,0041,1","99999,9,9,N","009999,1,9,9","+0300,1","+0210,1","99999,9","02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10150,1,99999,9",,,,"MET051METAR MDJB 012100Z 36008KT 9999 FEW020 30/21 Q1015=",
"78486599999","2023-01-01T22:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","360,1,N,0021,1","99999,9,9,N","009999,1,9,9","+0290,1","+0220,1","99999,9","02,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00610,1,99,9,99,9","10150,1,99999,9",,,,"MET051METAR MDJB 012200Z 36004KT 9999 FEW020 29/22 Q1015=",
"78486599999","2023-01-01T23:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0260,1","+0220,1","99999,9","02,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10160,1,99999,9",,,,"MET051METAR MDJB 012300Z 00000KT 9999 FEW018 26/22 Q1016=",
"78486599999","2023-01-02T00:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0240,1","+0220,1","99999,9","02,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10160,1,99999,9",,,,"MET051METAR MDJB 020000Z 00000KT 9999 FEW018 24/22 Q1016=",
"78486599999","2023-01-02T01:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0240,1","+0220,1","99999,9","02,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MDJB 020100Z 00000KT 9999 FEW018 24/22 Q1018=",
"78486599999","2023-01-02T02:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0230,1","+0220,1","99999,9","02,1,+00549,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00549,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MDJB 020200Z 00000KT 9999 FEW018 23/22 Q1018=",
"78486599999","2023-01-02T03:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,N","009999,1,9,9","+0230,1","+0220,1","99999,9","02,1,+00488,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00488,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MDJB 020300Z 00000KT 9999 FEW016 23/22 Q1019=",
"78486599999","2023-01-02T11:00:00","4","18.572511","-69.985608","29.87","DR JOAQUIN BALAGUER INTERNATIONAL, DR","FM-15","99999","V020","999,9,C,0000,1","00488,1,C,N","009999,1,9,9","+0210,1","+0210,1","99999,9","07,1,+00488,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00488,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MDJB 021100Z 00000KT 9999 BKN016 21/21 Q1018=",
