"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","MA1","ME1","REM","EQD"
"41304099999","2023-08-31T03:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0230,1","+0226,1","10048,1",,,,"99999,9,09745,1",,"SYN07041304 36/// /1504 10230 20226 39745 40048 333 0E023 55300 20000 58027=",
"41304099999","2023-08-31T06:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0331,1","+0212,1","10045,1",,,"240,N,+0227,1","99999,9,09751,1",,"SYN07641304 36/// /1503 10331 20212 39751 40045 333 0E023 20227 55300 21592 58011=",
"41304099999","2023-08-31T09:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0424,2","+9999,9","10020,1",,,,"99999,9,09734,1",,"SYN07041304 36/// /1509 10424 20014 39734 40020 333 0E023 55300 23402 58011=","Q011.4   3ATOD  "
"41304099999","2023-08-31T15:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0282,1","+0229,1","10028,1",,,,"99999,9,09730,1",,"SYN07041304 36/// /1414 10282 20229 39730 40028 333 0E024 55300 20631 58017=",
"41304099999","2023-08-31T18:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0264,1","+0226,1","10047,1",,,"120,M,+0430,1","99999,9,09747,1",,"SYN07641304 36/// /1410 10264 20226 39747 40047 333 0E027 10430 55300 20000 58013=",
"41304099999","2023-08-31T21:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0235,1","+0234,1","10045,1",,,,"99999,9,09742,1",,"SYN07041304 36/// /1414 10235 20234 39742 40045 333 0E024 55300 20000 58012=",
"41304099999","2023-09-01T00:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0226,1","+0226,1","10041,1",,,,"99999,9,09737,1",,"SYN07041304 36/// /1412 10226 20226 39737 40041 333 0E023 55300 20000 58010=",
"41304099999","2023-09-01T03:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","160,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0229,1","+0229,1","10051,1",,,,"99999,9,09747,1",,"SYN07041304 36/// /1613 10229 20229 39747 40051 333 0E022 55300 20000 58002=",
"41304099999","2023-09-01T06:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0350,2","+0142,1","10050,1",,,"240,N,+0213,1","99999,9,09757,1",,"SYN07641304 36/// /1904 10350 20142 39757 40050 333 0E022 20213 55300 21607 58005=",
"41304099999","2023-09-01T09:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","050,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0403,1","+0102,1","10030,1",,,,"99999,9,09743,1",,"SYN07041304 36/// /0507 10403 20102 39743 40030 333 0E022 55300 23432 58008=",
"41304099999","2023-09-01T12:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","110,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0410,1","+0118,1","10010,1",,,,"99999,9,09723,1",,"SYN07041304 36/// /1110 10410 20118 39723 40010 333 0E022 55300 22852 58000=",
"41304099999","2023-09-01T15:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","150,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0344,1","+0137,1","10021,1",,,,"99999,9,09728,1",,"SYN07041304 36/// /1513 10344 20137 39728 40021 333 0E024 55300 20646 59002=",
"41304099999","2023-09-01T21:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","130,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0255,1","+0230,1","10043,1",,,,"99999,9,09742,1",,"SYN07041304 36/// /1308 10255 20230 39742 40043 333 0E026 55300 20000 59000=",
"41304099999","2023-09-02T00:00:00","4","18.1333333","55.1833333","273.0","MARMUL, MU","FM-12","99999","V020","140,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0239,1","+0230,1","10034,1",,,,"99999,9,09732,1",,"SYN07041304 36/// /1412 10239 20230 39732 40034 333 0E024 55300 20000 59006=",
