"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GE1","GF1","KA1","KA2","MA1","MD1","ME1","MW1","REM","EQD"
"43133099999","2023-07-19T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0220,1","+0188,1","10078,1","24,0160,3,1",,,,,"99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0290,1","240,N,+0198,1","99999,9,09824,1","9,9,999,9,+002,1",,,"SYN09243133 22997 60000 10220 20188 39824 40078 80008 333 10290 20198 58002 6016/ 555 00162 10081=","Q01    003SCCGA1"
"43133099999","2023-07-19T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0264,1","+0179,1","09898,1",,,,,,,,,,"240,M,+0295,1",,"99999,9,09642,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10264 20179 39642 49898 333 10295 58002=",
"43133099999","2023-07-20T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0224,1","+0186,1","10080,1","24,0060,3,1",,,,,"99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0295,1","240,N,+0202,1","99999,9,09826,1","9,9,999,9,+002,1",,,"SYN09243133 22997 60000 10224 20186 39826 40080 80008 333 10295 20202 58002 6006/ 555 00062 10088=","Q01    003SCCGA1"
"43133099999","2023-07-20T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0240,1","+0193,1","09900,1",,,,,,,,,,"240,M,+0270,1",,"99999,9,09644,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10240 20193 39644 49900 333 10270 58002=",
"43133099999","2023-07-21T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0222,1","+0187,1","10082,1",,,,,,,,,,"240,M,+0270,1","240,N,+0200,1","99999,9,09828,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10222 20187 39828 40082 333 10270 20200 58002 555 10088=",
"43133099999","2023-07-21T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0270,1","+0200,1","09902,1",,,,,,,,,,"240,M,+0300,1",,"99999,9,09646,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10270 20200 39646 49902 333 10300 58002=",
"43133099999","2023-07-22T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0234,1","+0180,1","10084,1",,,,,,,,,,"240,M,+0300,1","240,N,+0210,1","99999,9,09830,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10234 20180 39830 40084 333 10300 20210 58002 555 10088=",
"43133099999","2023-07-22T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0280,1","+0168,1","09904,1",,,,,,,,,,"240,M,+0305,1",,"99999,9,09648,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10280 20168 39648 49904 333 10305 58002=",
"43133099999","2023-07-23T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0244,1","+0173,1","10086,1",,,,,,,,,,"240,M,+0305,1","240,N,+0220,1","99999,9,09832,1","9,9,999,9,+002,1",,,"SYN07443133 32997 00000 10244 20173 39832 40086 333 10305 20220 58002 555 10088=",
"43133099999","2023-07-23T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0270,1","+0193,1","09906,1",,,,,,,,,,"240,M,+0295,1",,"99999,9,09650,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10270 20193 39650 49906 333 10295 58002=",
"43133099999","2023-07-24T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0230,1","+0199,1","10088,1","24,0060,3,1",,,,,"99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0295,1","240,N,+0204,1","99999,9,09834,1","9,9,999,9,+002,1",,,"SYN09243133 22997 60000 10230 20199 39834 40088 80008 333 10295 20204 58002 6006/ 555 00060 10094=","Q01    003SCCGA1"
"43133099999","2023-07-24T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0260,1","+0181,1","09908,1",,,,,,,,,,"240,M,+0285,1",,"99999,9,09652,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10260 20181 39652 49908 333 10285 58002=",
"43133099999","2023-07-25T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0220,1","+0188,1","10090,1","24,0260,3,1",,,,,"99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0285,1","240,N,+0200,1","99999,9,09836,1","9,9,999,9,+002,1",,,"SYN09243133 22997 60000 10220 20188 39836 40090 80008 333 10285 20200 58002 6026/ 555 00264 10120=","Q01    003SCCGA1"
"43133099999","2023-07-25T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0258,1","+0182,1","09910,1",,,,,,,,,,"240,M,+0280,1",,"99999,9,09654,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10258 20182 39654 49910 333 10280 58002=",
"43133099999","2023-07-26T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0224,1","+0169,1","10092,1","24,0150,3,1",,,,,"99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0280,1","240,N,+0202,1","99999,9,09838,1","9,9,999,9,+002,1",,,"SYN09243133 22997 60000 10224 20169 39838 40092 80008 333 10280 20202 58002 6015/ 555 00154 10135=","Q01    003SCCGA1"
"43133099999","2023-07-26T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0260,1","+0170,1","09912,1",,,,,,,,,,"240,M,+0285,1",,"99999,9,09656,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10260 20170 39656 49912 333 10285 58002=",
"43133099999","2023-07-27T03:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0220,1","+0188,1","10094,1","24,0420,3,1",,,,,"99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","06,99,1,00,1,99,9,99999,9,99,9,99,9","240,M,+0285,1","240,N,+0190,1","99999,9,09840,1","9,9,999,9,+002,1",,,"SYN09243133 22997 60000 10220 20188 39840 40094 80008 333 10285 20190 58002 6042/ 555 00424 10178=","Q01    003SCCGA1"
"43133099999","2023-07-27T12:00:00","4","17.0","79.25","227.0","NALGONDA, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0270,1","+0193,1","09914,1",,,,,,,,,,"240,M,+0295,1",,"99999,9,09658,1","9,9,999,9,+002,1",,,"SYN05843133 32997 00000 10270 20193 39658 49914 333 10295 58002=",
