"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AY1","AY2","KA1","KA2","MA1","MD1","MW1","OD1","REM","EQD"
"56004099999","2023-06-28T03:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","270,1,N,0030,1","99999,9,9,N","030000,1,9,9","+0076,1","+0017,1","10045,1","06,0000,9,1","12,0000,9,1","24,0010,3,1",,"0,1,02,1","0,1,02,1","240,M,+0121,1","240,N,+0033,1","99999,9,05895,1","2,1,009,1,+022,1","00,1","3,99,0090,1,999","SYN11256004 04980 /2703 10076 20017 35895 40045 52009 60002 70000 333 10121 20033 3/003 58022 60001 70010 90720 91109=",
"56004099999","2023-06-28T06:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","030000,1,9,9","+0116,1","+0021,1","10004,1","06,0000,9,1","12,0000,9,1","24,0010,3,1",,"0,1,02,1","0,1,02,1","240,M,+0121,1","240,N,+0033,1","99999,9,05886,1","7,1,009,1,+999,9","00,1","3,99,0090,1,999","SYN11856004 04980 /1401 10116 20021 35886 40004 57009 60002 70000 333 10121 20033 3/003 54405 58023 60001 70010 90720 91109=",
"56004099999","2023-06-28T09:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","340,1,N,0010,1","99999,9,9,N","030000,1,9,9","+0133,1","+0010,1","09966,1","06,0000,9,1","12,0000,9,1","24,0006,3,1",,"0,1,02,1","0,1,02,1","240,M,+0146,1","240,N,+0033,1","99999,9,05871,1","7,1,015,1,+999,9","00,1","3,99,0070,1,999","SYN11856004 04980 /3401 10133 20010 35871 49966 57015 60002 70000 333 10146 20033 3/003 54405 58016 60001 70006 90720 91107=",
"56004099999","2023-06-28T12:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","070,1,N,0050,1","99999,9,9,N","030000,1,9,9","+0115,1","+0042,1","09985,1","06,0000,9,1","12,0000,9,1","24,0001,3,1",,"0,1,02,1","0,1,02,1","240,M,+0146,1","240,N,+0033,1","99999,9,05874,1","2,1,003,1,+999,9","00,1","3,99,0120,1,999","SYN11856004 04980 /0705 10115 20042 35874 49985 52003 60002 70000 333 10146 20033 3/005 54405 58014 60001 70001 90720 91112=",
"56004099999","2023-06-28T15:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","150,1,N,0040,1","99999,9,9,N","030000,1,9,9","+0060,1","+0021,1","10027,1","06,0005,3,1","12,0005,3,1","24,0005,3,1",,,,"240,M,+0146,1","240,N,+0033,1","99999,9,05890,1","2,1,016,1,+999,9","00,1","3,99,0140,1,999","SYN11856004 04980 /1504 10060 20021 35890 40027 52016 69952 700// 333 10146 20033 3/007 54405 58017 69951 70005 90720 91114=",
"56004099999","2023-06-28T21:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","290,1,N,0020,1","99999,9,9,N","030000,1,9,9","+0050,1","+0030,1","09980,1","06,0000,9,1","12,0005,3,1","24,0005,3,1",,,,"240,M,+0146,1","240,N,+0034,1","99999,9,05887,1","7,1,004,1,+999,9","00,1","3,99,0140,1,999","SYN11856004 04980 /2902 10050 20030 35887 49980 57004 69952 700// 333 10146 20034 3/005 54405 58010 60001 70005 90720 91114=",
"56004099999","2023-06-29T00:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","200,1,N,0020,1","99999,9,9,N","030000,1,9,9","+0052,1","+0032,1","10004,1","06,0000,9,1","12,0005,3,1","24,0005,3,1",,"0,1,02,1","0,1,02,1","120,M,+0146,1","120,N,+0038,1","99999,9,05893,1","2,1,006,1,+999,9","00,1","3,99,0140,1,999","SYN11856004 04980 /2002 10052 20032 35893 40004 52006 69952 70000 333 10146 20038 3/004 54405 58007 60001 70005 90720 91114=",
"56004099999","2023-06-29T03:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","020,1,N,0070,1","99999,9,9,N","030000,1,9,9","+0073,1","+0026,1","10037,1","06,0002,3,1","12,0002,3,1","24,0007,3,1",,"0,1,02,1","0,1,02,1","240,M,+0146,1","240,N,+0038,1","99999,9,05894,1","2,1,001,1,-001,1","00,1","3,99,0140,1,999","SYN11256004 04980 /0207 10073 20026 35894 40037 52001 69922 70000 333 10146 20038 3/004 59001 69921 70007 90720 91114=",
"56004099999","2023-06-29T06:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","290,1,N,0020,1","99999,9,9,N","030000,1,9,9","+0125,1","+0026,1","09976,1","06,0002,3,1","12,0002,3,1","24,0007,3,1",,"0,1,02,1","0,1,02,1","240,M,+0146,1","240,N,+0038,1","99999,9,05884,1","7,1,010,1,+999,9","00,1","3,99,0140,1,999","SYN11856004 04980 /2902 10125 20026 35884 49976 57010 69922 70000 333 10146 20038 3/004 54405 59002 69921 70007 90720 91114=",
"56004099999","2023-06-29T09:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","350,1,N,0010,1","99999,9,9,N","030000,1,9,9","+0157,1","-0014,1","09921,1","06,0000,9,1","12,0002,3,1","24,0007,3,1",,"0,1,02,1","0,1,02,1","240,M,+0158,1","240,N,+0038,1","99999,9,05865,1","7,1,019,1,+999,9","00,1","3,99,0140,1,999","SYN11856004 04980 /3501 10157 21014 35865 49921 57019 69922 70000 333 10158 20038 3/004 54405 59006 60001 70007 90720 91114=",
"56004099999","2023-06-29T12:00:00","4","34.2166666","92.4333333","4535.0","TUOTUOHE, CH","FM-12","99999","V020","160,1,N,0040,1","99999,9,9,N","030000,1,9,9","+0146,1","-0019,1","09910,1","06,0000,9,1","12,0002,3,1","24,0007,3,1",,"0,1,02,1","0,1,02,1","240,M,+0158,1","240,N,+0038,1","99999,9,05854,1","7,1,011,1,+999,9","00,1","3,99,0140,1,999","SYN11856004 04980 /1604 10146 21019 35854 49910 57011 69922 70000 333 10158 20038 3/007 54405 59020 60001 70007 90720 91114=",
