"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","MA1","MD1","OC1","OD1","OD2","REM","EQD"
"01259099999","2023-11-18T15:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0008,1","-0029,1","10191,1","240,M,+0018,1","240,N,+0008,1","99999,9,10168,1","8,1,010,1,+999,9",,"3,99,0050,1,999",,"SYN07601259 46/// /0702 10008 21029 30168 40191 58010 333 10018 20008 90710 91105=",
"01259099999","2023-11-18T16:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","120,1,N,0030,1","99999,9,9,N","999999,9,9,9","+0005,1","-0032,1","10184,1","240,M,+0008,1","240,N,+0005,1","99999,9,10161,1","8,1,016,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /1203 10005 21032 30161 40184 58016 333 10008 20005 90710 91104=",
"01259099999","2023-11-18T17:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0004,1","-0030,1","10179,1","240,M,+0009,1","240,N,+0004,1","99999,9,10156,1","7,1,017,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /1104 10004 21030 30156 40179 57017 333 10009 20004 90710 91104=",
"01259099999","2023-11-18T18:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","120,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0005,1","-0025,1","10175,1","120,M,+0035,1","120,N,+0004,1","99999,9,10152,1","6,1,016,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /1204 10005 21025 30152 40175 56016 333 10035 20004 90710 91104=",
"01259099999","2023-11-18T19:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","100,1,N,0030,1","99999,9,9,N","999999,9,9,9","+0003,1","-0026,1","10169,1","240,M,+0008,1","240,N,+0002,1","99999,9,10146,1","7,1,015,1,+999,9",,"3,99,0050,1,999",,"SYN07601259 46/// /1003 10003 21026 30146 40169 57015 333 10008 20002 90710 91105=",
"01259099999","2023-11-18T20:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","120,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0003,1","-0027,1","10164,1","240,M,+0004,1","240,N,+0001,1","99999,9,10141,1","7,1,015,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /1204 10003 21027 30141 40164 57015 333 10004 20001 90710 91104=",
"01259099999","2023-11-18T21:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0040,1","99999,9,9,N","999999,9,9,9","+0007,1","-0025,1","10158,1","240,M,+0007,1","240,N,+0000,1","99999,9,10135,1","7,1,017,1,+999,9",,"3,99,0050,1,999",,"SYN07601259 46/// /1104 10007 21025 30135 40158 57017 333 10007 20000 90710 91105=",
"01259099999","2023-11-18T22:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0009,1","-0039,1","10150,1","240,M,+0009,1","240,N,+0007,1","99999,9,10127,1","8,1,019,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /1105 10009 21039 30127 40150 58019 333 10009 20007 90710 91107=",
"01259099999","2023-11-18T23:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0006,1","-0048,1","10142,1","240,M,+0009,1","240,N,+0005,1","99999,9,10119,1","7,1,022,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /1105 10006 21048 30119 40142 57022 333 10009 20005 90710 91107=",
"01259099999","2023-11-19T00:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0004,1","-0052,1","10133,1","120,M,+0007,1","120,N,+0004,1","99999,9,10110,1","7,1,025,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /1105 10004 21052 30110 40133 57025 333 10007 20004 90710 91107=",
"01259099999","2023-11-19T01:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","100,1,N,0040,1","99999,9,9,N","999999,9,9,9","-0001,1","-0049,1","10127,1","240,M,+0004,1","240,N,-0002,1","99999,9,10104,1","7,1,022,1,+999,9",,"3,99,0060,1,999",,"SYN07601259 46/// /1004 11001 21049 30104 40127 57022 333 10004 21002 90710 91106=",
"01259099999","2023-11-19T02:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0003,1","-0047,1","10121,1","240,M,+0002,1","240,N,-0003,1","99999,9,10098,1","6,1,020,1,+999,9",,"3,99,0060,1,999",,"SYN07601259 46/// /0501 11003 21047 30098 40121 56020 333 10002 21003 90710 91106=",
"01259099999","2023-11-19T03:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","060,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0006,1","-0055,1","10115,1","240,M,-0003,1","240,N,-0009,1","99999,9,10092,1","7,1,018,1,+999,9",,"3,99,0030,1,999",,"SYN07601259 46/// /0602 11006 21055 30092 40115 57018 333 11003 21009 90710 91103=",
"01259099999","2023-11-19T04:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0030,1","99999,9,9,N","999999,9,9,9","-0004,1","-0046,1","10108,1","240,M,-0003,1","240,N,-0011,1","99999,9,10085,1","7,1,019,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /1103 11004 21046 30085 40108 57019 333 11003 21011 90710 91104=",
"01259099999","2023-11-19T05:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","060,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0012,1","-0053,1","10102,1","240,M,-0002,1","240,N,-0016,1","99999,9,10079,1","7,1,019,1,+999,9",,"3,99,0030,1,999",,"SYN07601259 46/// /0602 11012 21053 30079 40102 57019 333 11002 21016 90710 91103=",
"01259099999","2023-11-19T06:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0008,1","-0055,1","10098,1","240,M,+0009,1","240,N,-0016,1","99999,9,10075,1","7,1,018,1,+999,9",,"3,99,0040,1,999",,"SYN07601259 46/// /0702 11008 21055 30075 40098 57018 333 10009 21016 90710 91104=",
"01259099999","2023-11-19T07:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","100,1,N,0050,1","99999,9,9,N","999999,9,9,9","-0002,1","-0050,1","10095,1","240,M,-0002,1","240,N,-0009,1","99999,9,10072,1","6,1,013,1,+999,9",,"3,99,0070,1,999",,"SYN07601259 46/// /1005 11002 21050 30072 40095 56013 333 11002 21009 90710 91107=",
"01259099999","2023-11-19T08:00:00","4","64.4","10.45","18.42","BUHOLMRASA LH, NO","FM-12","99999","V020","110,1,N,0070,1","99999,9,9,N","999999,9,9,9","-0004,1","-0055,1","10089,1","240,M,+0000,1","240,N,-0005,1","99999,9,10066,1","7,1,013,1,+999,9",,"3,99,0100,1,999",,"SYN07601259 46/// /1107 11004 21055 30066 40089 57013 333 10000 21005 90710 91110=",
