"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AY1","AY2","GA1","GE1","GF1","IA2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"52533099999","2023-11-14T18:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","290,1,N,0050,1","99999,9,9,N","030000,1,9,9","-0003,1","-0087,1","10396,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"120,M,+0063,1","120,N,-0062,1","99999,9,08674,1","2,1,016,1,+999,9","00,1",,"3,99,0150,1,999","SYN11852533 04980 /2905 11003 21087 38674 40396 52016 60002 70000 333 10063 21062 3/102 54405 58108 60001 70000 90720 91115=",
"52533099999","2023-11-15T00:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","262,1,N,0084,1","22000,1,9,9","030000,1,9,9","-0020,1","-0079,1","10437,1","24,0000,9,1","99,9999,9,9",,"9999,9,9,999999,9,9","0,1,99,9","0,1,99,9",,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","999,-0058,9","120,M,+0063,1","120,N,-0052,1","99999,9,08696,1","2,1,023,1,+106,1","00,1","0136,1","3,99,0136,1,268","SYN004BUFR",
"52533099999","2023-11-15T03:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","320,1,N,0100,1","99999,9,9,N","030000,1,9,9","+0003,1","-0068,1","10458,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0063,1","240,N,-0023,1","99999,9,08717,1","2,1,021,1,+999,9","00,1",,"3,99,0170,1,999","SYN11852533 04980 /3210 10003 21068 38717 40458 52021 60002 70000 333 10063 21023 3/106 54415 58105 60001 70000 90720 91117=",
"52533099999","2023-11-15T06:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","320,1,N,0090,1","99999,9,9,N","030000,1,9,9","+0035,1","-0088,1","10441,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0056,1","240,N,-0023,1","99999,9,08708,1","7,1,009,1,+999,9","00,1",,"3,99,0170,1,999","SYN11852533 04980 /3209 10035 21088 38708 40441 57009 60002 70000 333 10056 21023 3/106 54415 58101 60001 70000 90720 91117=",
"52533099999","2023-11-15T09:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","320,1,N,0060,1","99999,9,9,N","030000,1,9,9","+0035,1","-0098,1","10449,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0043,1","240,N,-0023,1","99999,9,08712,1","2,1,004,1,+999,9","00,1",,"3,99,0170,1,999","SYN11852533 04980 /3206 10035 21098 38712 40449 52004 60002 70000 333 10043 21023 3/105 54415 58098 60001 70000 90720 91117=",
"52533099999","2023-11-15T12:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","180,1,N,0020,1","99999,9,9,N","022000,1,9,9","-0007,1","-0084,1","10476,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"240,M,+0041,1","240,N,-0023,1","99999,9,08720,1","2,1,008,1,+999,9","00,1",,"3,99,0170,1,999","SYN11852533 04972 /1802 11007 21084 38720 40476 52008 60002 70000 333 10041 21023 3/107 54415 58086 60001 70000 90720 91117=",
"52533099999","2023-11-15T15:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","200,1,N,0020,1","99999,9,9,N","017000,1,9,9","-0028,1","-0123,1","10464,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,,,,,,,"240,M,+0041,1","240,N,-0033,1","99999,9,08711,1","7,1,009,1,+999,9","00,1",,"3,99,0170,1,999","SYN11852533 04967 /2002 11028 21123 38711 40464 57009 60002 700// 333 10041 21033 3/110 54415 58053 60001 70000 90720 91117=",
"52533099999","2023-11-15T18:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","230,1,N,0030,1","99999,9,9,N","030000,1,9,9","-0050,1","-0136,1","10437,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"120,M,+0041,1","120,N,-0051,1","99999,9,08691,1","7,1,020,1,+999,9","00,1",,"3,99,0170,1,999","SYN11852533 04980 /2303 11050 21136 38691 40437 57020 60002 70000 333 10041 21051 3/111 54415 58017 60001 70000 90720 91117=",
"52533099999","2023-11-15T21:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","230,1,N,0030,1","99999,9,9,N","030000,1,9,9","-0062,1","-0140,1","10414,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,,,,,,,"240,M,+0041,1","240,N,-0062,1","99999,9,08669,1","7,1,022,1,+999,9","00,1",,"3,99,0100,1,999","SYN11852533 04980 /2303 11062 21140 38669 40414 57022 60002 700// 333 10041 21062 3/112 54415 59004 60001 70000 90720 91110=",
"52533099999","2023-11-16T00:00:00","4","39.7666667","98.4833333","1478.0","JIUQUAN SUZHOU, CH","FM-12","99999","V020","240,1,N,0030,1","99999,9,9,N","030000,1,9,9","-0058,1","-0176,1","10418,1","06,0000,9,1","12,0000,9,1","24,0000,9,1",,"0,1,02,1","0,1,02,1",,,,,"120,M,+0041,1","120,N,-0062,1","99999,9,08661,1","7,1,008,1,+999,9","00,1",,"3,99,0050,1,999","SYN11852533 04080 02403 11058 21176 38661 40418 57008 60002 70000 333 10041 21062 3/113 54415 59035 60001 70000 90720 91105=",
