"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"47553099999","2023-01-01T08:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","020,1,N,0077,1","00305,1,C,N","009999,1,9,9","+0010,1","+0000,1","99999,9",,"02,1,+00152,1,99,9","04,1,+00305,1,99,9","07,1,+00457,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10170,1,99999,9","85,1",,,,"MET103METAR RJSC 010800Z 02015KT 9999 -SHSN FEW005 SCT010 BKN015 01/M00 Q1017 RMK 1ST005 4ST010 6CU015 A3004=",
"47553099999","2023-01-01T09:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","020,1,N,0057,1","00244,1,C,N","008000,1,9,9","+0010,1","+0000,1","99999,9",,"02,1,+00152,1,99,9","04,1,+00244,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10170,1,99999,9","85,1",,,,"MET103METAR RJSC 010900Z 02011KT 8000 -SHSN FEW005 SCT008 BKN010 01/M00 Q1017 RMK 1ST005 4ST008 6ST010 A3005=",
"47553099999","2023-01-01T10:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","020,1,N,0026,1","00244,1,C,N","008000,1,9,9","+0010,1","-0010,1","99999,9",,"02,1,+00152,1,99,9","04,1,+00244,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00152,1,99,9,99,9","10180,1,99999,9","85,1",,,,"MET103METAR RJSC 011000Z 02005KT 8000 -SHSN FEW005 SCT008 BKN010 01/M01 Q1018 RMK 1ST005 4ST008 6ST010 A3006=",
"47553099999","2023-01-01T22:40:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","999,9,V,0005,1","00213,1,C,N","001800,1,9,9","-0010,1","-0010,1","99999,9","01,U,9999,9","02,1,+00122,1,99,9","04,1,+00213,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00122,1,99,9,99,9","10190,1,99999,9","85,1",,,,"MET114SPECI RJSC 012240Z VRB01KT 1800 R01/2000N -SHSN FEW004 SCT007 BKN010 M01/M01 Q1019 RMK 1ST004 3ST007 6ST010 A3010=",
"47553099999","2023-01-01T23:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","200,1,V,0015,1","00244,1,C,N","002000,1,9,9","-0010,1","-0010,1","99999,9",,"02,1,+00091,1,99,9","04,1,+00244,1,99,9","07,1,+00366,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","85,1",,,,"MET112METAR RJSC 012300Z 20003KT 170V270 2000 -SHSN FEW003 SCT008 BKN012 M01/M01 Q1019 RMK 1ST003 3ST008 6ST012 A3009=",
"47553099999","2023-01-01T23:12:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","200,1,V,0015,1","00152,1,C,N","000600,1,9,9","-0010,1","-0010,1","99999,9","01,U,9999,9","02,1,+00061,1,99,9","04,1,+00152,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00061,1,99,9,99,9","10190,1,99999,9","86,1",,,,"MET127SPECI RJSC 012312Z 20003KT 120V270 0600 R01/1200VP2000D SHSN FEW002 SCT005 BKN008 M01/M01 Q1019 RMK 1ST002 3ST005 6ST008 A3009=",
"47553099999","2023-01-01T23:35:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","220,1,V,0031,1","00152,1,C,N","000600,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00152,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","86,1",,,,"MET127SPECI RJSC 012335Z 22006KT 190V260 0600 R01/1400VP2000D SHSN FEW003 SCT005 BKN008 M01/M02 Q1019 RMK 1ST003 4ST005 6ST008 A3009=",
"47553099999","2023-01-01T23:42:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","230,1,V,0036,1","00152,1,C,N","001000,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00152,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","85,1",,,,"MET128SPECI RJSC 012342Z 23007KT 190V280 1000 R01/0900VP2000D -SHSN FEW003 SCT005 BKN008 M01/M02 Q1019 RMK 1ST003 4ST005 6ST008 A3009=",
"47553099999","2023-01-02T00:00:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-15","99999","V020","260,1,V,0041,1","00152,1,C,N","002000,1,9,9","-0010,1","-0020,1","99999,9",,"02,1,+00091,1,99,9","04,1,+00152,1,99,9","07,1,+00305,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","85,1",,,,"MET112METAR RJSC 020000Z 26008KT 220V290 2000 -SHSN FEW003 SCT005 BKN010 M01/M02 Q1019 RMK 1ST003 3ST005 6ST010 A3010=",
"47553099999","2023-01-02T00:08:00","4","38.411894","140.371331","107.59","YAMAGATA, JA","FM-16","99999","V020","260,1,V,0046,1","00152,1,C,N","001000,1,9,9","-0010,1","-0020,1","99999,9","01,U,9999,9","02,1,+00091,1,99,9","04,1,+00152,1,99,9","07,1,+00244,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,02,1,99,9,00091,1,99,9,99,9","10190,1,99999,9","85,1",,,,"MET122SPECI RJSC 020008Z 26009KT 230V310 1000 R01/2000N -SHSN FEW003 SCT005 BKN008 M01/M02 Q1019 RMK 1ST003 4ST005 6ST008 A3010=",
