"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42860099999","2023-01-08T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","360,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0064,1","+0056,1","10203,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0052,1","99999,9,09432,1","9,9,999,9,-016,1","42,1","SYN07442860 31996 03601 10064 20056 39432 40203 74243 333 20052 59016 555 10000=",
"42860099999","2023-01-08T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0234,1","+0102,1","10132,1",,,,,,,,"240,M,+0248,1","99999,9,09406,1","9,9,999,9,-010,1",,"SYN05842860 32997 03201 10234 20102 39406 40132 333 10248 59010=",
"42860099999","2023-01-09T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0084,1","+0059,1","10205,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0055,1","99999,9,09439,1","9,9,999,9,+007,1","42,1","SYN07442860 31996 00501 10084 20059 39439 40205 74243 333 20055 58007 555 10000=",
"42860099999","2023-01-09T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0246,1","+0086,1","10137,1",,,,,,,,"240,M,+0267,1","99999,9,09415,1","9,9,999,9,+009,1",,"SYN05842860 32997 00501 10246 20086 39415 40137 333 10267 58009=",
"42860099999","2023-01-10T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0094,1","+0078,1","10200,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0075,1","99999,9,09437,1","9,9,999,9,-002,1","42,1","SYN07442860 31996 03201 10094 20078 39437 40200 74243 333 20075 59002 555 10000=",
"42860099999","2023-01-10T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0244,1","+0093,1","10123,1",,,,,,,,"240,M,+0264,1","99999,9,09402,1","9,9,999,9,-013,1",,"SYN05842860 32997 00501 10244 20093 39402 40123 333 10264 59013=",
"42860099999","2023-01-11T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0098,1","+0082,1","10170,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0078,1","99999,9,09409,1","9,9,999,9,-028,1","42,1","SYN07442860 31996 03201 10098 20082 39409 40170 74243 333 20078 59028 555 10000=",
"42860099999","2023-01-12T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0114,1","+0099,1","10140,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0095,1","99999,9,09386,1","9,9,999,9,-023,1","42,1","SYN07442860 31996 00501 10114 20099 39386 40140 74243 333 20095 59023 555 10000=",
"42860099999","2023-01-12T12:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","010000,1,9,9","+0250,1","+0067,1","10066,1",,,,,,,,"240,M,+0267,1","99999,9,09351,1","9,9,999,9,-017,1",,"SYN05842860 32997 03201 10250 20067 39351 40066 333 10267 59017=",
"42860099999","2023-01-13T03:00:00","4","21.8666666","77.9333333","653.0","BETUL, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0124,1","+0109,1","10140,1",,"4,1,02,1","3,1,02,1",,,,,"240,N,+0102,1","99999,9,09388,1","9,9,999,9,+002,1","42,1","SYN07442860 31996 00501 10124 20109 39388 40140 74243 333 20102 58002 555 10000=",
