"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AW1","AZ1","AZ2","IA2","KA1","KA2","MA1","MD1","OC1","OD1","REM","EQD"
"11051099999","2023-01-01T18:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","080,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0055,1","+0039,1","10246,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,"120,M,+0138,1","120,N,+0006,1","99999,9,09766,1","7,1,001,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-01T19:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","130,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0042,1","+0031,1","10247,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09765,1","5,1,003,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-01T20:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","090,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0037,1","+0028,1","10245,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09762,1","8,1,004,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-01T21:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","090,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0036,1","+0029,1","10242,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09759,1","7,1,007,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-01T22:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0045,1","+0037,1","10236,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09755,1","7,1,010,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-01T23:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0037,1","+0028,1","10236,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09754,1","8,1,008,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T00:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","120,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0022,1","+0016,1","10237,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09752,1","6,1,007,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T01:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0017,1","+0012,1","10231,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09745,1","8,1,010,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T02:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","+0002,1","-0003,1","10233,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09745,1","5,1,009,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T03:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","330,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0000,1","-0005,1","10231,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09742,1","7,1,010,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T04:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","-0002,1","-0006,1","10232,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09743,1","8,1,002,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T05:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0001,1","-0006,1","10233,1",,,,,,,,"99999,9,09744,1","5,1,001,1,+999,9",,,"SYN05811051 35/// /0000 11001 21006 39744 40233 55001 333 55300=",
"11051099999","2023-01-02T06:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,9","999999,9,9,9","-0007,1","-0012,1","10234,1","99,9999,9,9",,"0,1,99,9","0,1,99,9","999,-0020,9","120,M,+0056,1","120,N,-0008,1","99999,9,09744,1","0,1,002,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T07:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","060,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0002,1","-0005,1","10231,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09743,1","0,1,000,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T08:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","070,1,N,0010,1","99999,9,9,9","999999,9,9,9","-0002,1","-0007,1","10233,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09744,1","0,1,000,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T09:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","290,1,N,0010,1","99999,9,9,9","999999,9,9,9","+0005,1","+0000,1","10235,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09747,1","3,1,003,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T10:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0045,1","+0034,1","10227,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09747,1","0,1,004,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T11:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","080,1,N,0030,1","99999,9,9,9","999999,9,9,9","+0062,1","+0039,1","10221,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09744,1","0,1,000,1,+999,9",,,"SYN004BUFR",
"11051099999","2023-01-02T12:00:00","4","48.2166666","13.0333333","388.1","RANSHOFEN, AU","FM-12","99999","V020","070,1,N,0020,1","99999,9,9,9","999999,9,9,9","+0075,1","+0044,1","10215,1","99,9999,9,9",,"0,1,99,9","0,1,99,9",,,,"99999,9,09740,1","8,1,007,1,+999,9",,,"SYN004BUFR",
