"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AJ1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GE1","GF1","IA1","KA1","MA1","MD1","MW1","OD1","OD2","REM","EQD"
"33301099999","2023-01-02T12:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","230,1,N,0040,1","99999,9,9,N","010000,1,9,9","+0130,2","+0077,2","10233,1",,,,,,,"02,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,09956,1","8,1,015,1,+999,9",,,,"SYN06433301 32960 62304 10130 20077 39956 40233 58015 82031 555 1/011=",
"33301099999","2023-01-02T15:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","190,1,N,0030,1","99999,9,9,N","010000,1,9,9","+0095,1","+0066,1","10227,1",,,,,,,"02,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","05,99,1,02,1,99,9,99999,9,99,9,99,9",,,"99999,9,09947,1","6,1,009,1,+999,9",,,,"SYN06433301 42960 51903 10095 20066 39947 40227 56009 82031 555 1/007=",
"33301099999","2023-01-02T18:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","200,1,N,0030,1","22000,1,9,N","010000,1,9,9","+0070,1","+0047,1","10219,1",,,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","02,99,1,00,1,99,9,99999,9,99,9,99,9",,"120,M,+0132,1","99999,9,09937,1","7,1,010,1,+999,9",,,,"SYN07433301 32960 22003 10070 20047 39937 40219 57010 80001 333 10132 555 1/004=","Q01    003SCCGA1"
"33301099999","2023-01-02T21:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","200,1,N,0050,1","22000,1,9,N","010000,1,9,9","+0059,1","+0042,1","10211,1",,,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09928,1","7,1,009,1,+999,9",,,,"SYN06433301 42960 32005 10059 20042 39928 40211 57009 80001 555 1/003=","Q01    003SCCGA1"
"33301099999","2023-01-03T00:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","230,1,N,0030,1","22000,1,9,N","010000,1,9,9","+0049,1","+0037,1","10202,1",,,,,,,"99,9,+99999,9,00,1",,,"9,AGL   ,+99999,+99999","03,99,1,00,1,99,9,99999,9,99,9,99,9",,,"99999,9,09918,1","7,1,010,1,+999,9",,,,"SYN06433301 32960 32303 10049 20037 39918 40202 57010 80001 555 1/002=","Q01    003SCCGA1"
"33301099999","2023-01-03T03:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","270,1,N,0070,1","99999,9,9,N","010000,1,9,9","+0067,1","+0050,1","10198,1",,,,,,,"03,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","06,99,1,03,1,99,9,99999,9,99,9,99,9",,,"99999,9,09916,1","6,1,002,1,+999,9",,,,"SYN06433301 42960 62707 10067 20050 39916 40198 56002 83031 555 1/004=",
"33301099999","2023-01-03T06:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","260,1,N,0060,1","22000,1,9,N","010000,1,9,9","+0059,1","+0047,1","10210,1",,,,,,,"02,1,+99999,9,03,1","99,9,+99999,9,00,1",,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,99999,9,99,9,99,9",,"240,N,+0045,1","99999,9,09927,1","3,1,011,1,+999,9",,,,"SYN07433301 32960 42606 10059 20047 39927 40210 53011 82031 333 20045 555 11003=",
"33301099999","2023-01-03T09:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","280,1,N,0070,1","99999,9,9,N","010000,1,9,9","+0075,1","+0056,1","10228,1",,,,,,,"02,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,02,1,99,9,00800,1,99,9,99,9",,,"99999,9,09946,1","2,1,019,1,+999,9",,,,"SYN06433301 42560 72807 10075 20056 39946 40228 52019 82530 555 1/007=",
"33301099999","2023-01-03T12:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","270,1,N,0070,1","99999,9,9,N","010000,1,9,9","+0079,1","+0059,1","10231,1",,,,,,,"04,1,+00800,1,06,1","99,9,+99999,9,03,1",,"9,AGL   ,+99999,+99999","07,99,1,04,1,99,9,00800,1,99,9,99,9",,,"99999,9,09949,1","1,1,003,1,+999,9",,,,"SYN06433301 32560 72707 10079 20059 39949 40231 51003 84530 555 1/008=",
"33301099999","2023-01-03T15:00:00","4","50.607142","26.141622","230.12","RIVNE INTERNATIONAL, UP","FM-12","99999","V020","280,1,N,0030,1","99999,9,9,N","010000,1,9,9","+0066,1","+0039,1","10243,1",,,,,,,"06,1,+00800,1,09,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,00800,1,99,9,99,9",,,"99999,9,09959,1","2,1,010,1,+999,9",,,,"SYN06433301 42560 62803 10066 20039 39959 40243 52010 86300 555 1/004=",
