"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","KA1","MA1","MD1","OD1","REM","EQD"
"06664099999","2023-01-01T15:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","260,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0151,1","+0067,1","10219,1","01,0000,9,1",,,,"99999,9,09699,1","7,1,011,1,+999,9","3,99,0077,1,999","SYN08206664 16/// /2602 10151 20067 39699 40219 57011 60005 333 55310 20360 90730 91115=",
"06664099999","2023-01-01T16:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","160,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0114,1","+0068,1","10227,1","01,0000,9,1",,,,"99999,9,09700,1","5,1,003,1,+999,9","3,99,0015,1,999","SYN08806664 16/// /1601 10114 20068 39700 40227 55003 60005 333 54/15 55301 20072 90710 91103=",
"06664099999","2023-01-01T17:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","300,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0083,1","+0063,1","10235,1","01,0000,9,1",,,,"99999,9,09701,1","2,1,002,1,+999,9","3,99,0015,1,999","SYN08806664 16/// /3001 10083 20063 39701 40235 52002 60005 333 54/15 55300 20007 90710 91103=",
"06664099999","2023-01-01T18:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0082,1","+0058,1","10234,1","01,0000,9,1","12,0000,9,1",,"120,M,+0164,1","99999,9,09700,1","9,9,001,1,+999,9","3,99,0077,1,999","SYN10006664 06/// /3202 10082 20058 39700 40234 50001 60002 333 10164 54/17 55300 20004 60005 90760 91115=",
"06664099999","2023-01-01T19:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0074,1","+0055,1","10235,1","01,0000,9,1",,,,"99999,9,09700,1","5,1,000,1,+999,9","3,99,0021,1,999","SYN08806664 16/// /2600 10074 20055 39700 40235 55000 60005 333 54/15 55300 20004 90710 91104=",
"06664099999","2023-01-01T20:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","120,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0062,1","+0052,1","10236,1","01,0000,9,1",,,,"99999,9,09698,1","8,1,003,1,+999,9","3,99,0015,1,999","SYN08806664 16/// /1201 10062 20052 39698 40236 58003 60005 333 54/15 55300 20004 90710 91103=",
"06664099999","2023-01-01T21:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0058,1","+0050,1","10238,1","01,0000,9,1",,,,"99999,9,09699,1","7,1,001,1,+999,9","3,99,0021,1,999","SYN08806664 16/// /1700 10058 20050 39699 40238 57001 60005 333 54/15 55300 20004 90730 91104=",
"06664099999","2023-01-01T22:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","070,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0047,1","+0042,1","10236,1","01,0000,9,1",,,,"99999,9,09695,1","7,1,005,1,+999,9","3,99,0010,1,999","SYN08806664 16/// /0701 10047 20042 39695 40236 57005 60005 333 54/15 55300 20004 90710 91102=",
"06664099999","2023-01-01T23:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0033,1","+0031,1","10238,1","01,0000,9,1",,,,"99999,9,09695,1","7,1,003,1,+999,9","3,99,0010,1,999","SYN08806664 16/// /2100 10033 20031 39695 40238 57003 60005 333 54/15 55300 20004 90710 91102=",
"06664099999","2023-01-02T00:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","270,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0041,1","+0034,1","10237,1","01,0000,9,1","06,0000,9,1",,,"99999,9,09695,1","7,1,004,1,+999,9","3,99,0021,1,999","SYN09406664 06/// /2701 10041 20034 39695 40237 57004 60001 333 54/15 55300 20004 60005 90760 91104=",
"06664099999","2023-01-02T01:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0041,1","+0033,1","10233,1","01,0000,9,1",,,,"99999,9,09691,1","7,1,004,1,+999,9","3,99,0005,1,999","SYN08206664 16/// /1400 10041 20033 39691 40233 57004 60005 333 55300 20004 90710 91101=",
"06664099999","2023-01-02T02:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","070,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0034,1","+0029,1","10231,1","01,0000,9,1",,,,"99999,9,09688,1","7,1,007,1,+999,9","3,99,0015,1,999","SYN08806664 16/// /0701 10034 20029 39688 40231 57007 60005 333 54/15 55300 20004 90710 91103=",
"06664099999","2023-01-02T03:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0026,1","+0023,1","10231,1","01,0000,9,1",,,,"99999,9,09687,1","7,1,008,1,+999,9","3,99,0021,1,999","SYN08806664 16/// /1100 10026 20023 39687 40231 57008 60005 333 54/15 55300 20004 90730 91104=",
"06664099999","2023-01-02T04:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","110,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0037,1","+0030,1","10225,1","01,0000,9,1",,,,"99999,9,09683,1","7,1,008,1,+999,9","3,99,0015,1,999","SYN08806664 16/// /1101 10037 20030 39683 40225 57008 60005 333 54/05 55300 20004 90710 91103=",
"06664099999","2023-01-02T05:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","130,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0032,1","+0029,1","10225,1","01,0000,9,1",,,,"99999,9,09682,1","7,1,006,1,+999,9","3,99,0010,1,999","SYN08206664 16/// /1301 10032 20029 39682 40225 57006 60005 333 55300 20004 90710 91102=",
"06664099999","2023-01-02T06:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0036,1","+0026,1","10227,1","01,0000,9,1","12,0000,9,1","24,0000,9,1","240,N,+0021,1","99999,9,09685,1","5,1,002,1,+999,9","3,99,0021,1,999","SYN11206664 06/// /3600 10036 20026 39685 40227 55002 60002 333 20021 3/101 55072 55300 20004 60005 70000 90760 91104=",
"06664099999","2023-01-02T07:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","180,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0033,1","+0025,1","10230,1","01,0000,9,1",,,,"99999,9,09687,1","2,1,004,1,+999,9","3,99,0015,1,999","SYN08206664 16/// /1801 10033 20025 39687 40230 52004 60005 333 55300 20004 90710 91103=",
"06664099999","2023-01-02T08:00:00","4","47.4333333","8.5166666","441.0","ZUERICH AFFOLTERN, SZ","FM-12","99999","V020","100,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0033,1","+0024,1","10234,1","01,0000,9,1",,,,"99999,9,09691,1","3,1,009,1,+999,9","3,99,0010,1,999","SYN08206664 16/// /1001 10033 20024 39691 40234 53009 60005 333 55301 20072 90710 91102=",
