"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","REM"
"99400899999","2023-06-09T05:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","270,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0270,1","+0221,1","10106,1","1,1,006,1,+999,9","5,99,0072,1,999","SYN058FHPF1 46/// /2712 10270 20221 40106 51006 90500 333 91214="
"99400899999","2023-06-09T06:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","270,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0269,1","+0223,1","10099,1","8,1,004,1,+999,9","5,99,0077,1,999","SYN058FHPF1 46/// /2713 10269 20223 40099 58004 90600 333 91215="
"99400899999","2023-06-09T07:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0268,1","+0224,1","10096,1","8,1,012,1,+999,9","5,99,0072,1,999","SYN058FHPF1 46/// /2811 10268 20224 40096 58012 90700 333 91214="
"99400899999","2023-06-09T08:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0268,1","+0224,1","10097,1","6,1,009,1,+999,9","5,99,0057,1,999","SYN058FHPF1 46/// /2809 10268 20224 40097 56009 90800 333 91211="
"99400899999","2023-06-09T09:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0268,1","+0224,1","10098,1","5,1,000,1,+999,9","5,99,0057,1,999","SYN058FHPF1 46/// /2809 10268 20224 40098 55000 90900 333 91211="
"99400899999","2023-06-09T10:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","290,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0268,1","+0226,1","10099,1","2,1,004,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /2910 10268 20226 40099 52004 91000 333 91212="
"99400899999","2023-06-09T11:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","290,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0268,1","+0223,1","10103,1","3,1,006,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /2910 10268 20223 40103 53006 91100 333 91212="
"99400899999","2023-06-09T12:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","300,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0271,1","+0224,1","10105,1","3,1,007,1,+999,9","5,99,0062,1,999","SYN058FHPF1 46/// /3009 10271 20224 40105 53007 91200 333 91212="
"99400899999","2023-06-09T13:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","300,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0274,1","+0223,1","10108,1","1,1,009,1,+999,9","5,99,0057,1,999","SYN058FHPF1 46/// /3009 10274 20223 40108 51009 91300 333 91211="
"99400899999","2023-06-09T14:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0278,1","+0219,1","10109,1","1,1,007,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /3208 10278 20219 40109 51007 91400 333 91210="
"99400899999","2023-06-09T15:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","320,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0283,1","+0219,1","10112,1","1,1,007,1,+999,9","5,99,0051,1,999","SYN058FHPF1 46/// /3208 10283 20219 40112 51007 91500 333 91210="
"99400899999","2023-06-09T16:00:00","4","28.12","-82.8","6.0","FRED HOWARD PARK, FL US","FM-13","99999","V020","280,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0275,1","+0220,1","10114,1","2,1,005,1,+999,9","5,99,0046,1,999","SYN058FHPF1 46/// /2807 10275 20220 40114 52005 91600 333 91209="
