"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"78256199999","2023-01-01T13:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,N,0026,1","99999,9,9,N","009000,1,9,9","+0260,1","+0240,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 011350Z 08005KT 9000 SCT020 26/24 Q1020=",
"78256199999","2023-01-01T14:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","080,1,V,0041,1","99999,9,9,N","009000,1,9,9","+0270,1","+0240,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET059METAR MUCC 011450Z 08008KT 050V110 9000 SCT020 27/24 Q1020=",
"78256199999","2023-01-01T15:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0062,1","99999,9,9,N","009000,1,9,9","+0280,1","+0230,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 011550Z 06012KT 9000 SCT020 28/23 Q1020=",
"78256199999","2023-01-01T16:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,V,0057,1","99999,9,9,N","009000,1,9,9","+0280,1","+0230,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET059METAR MUCC 011650Z 07011KT 040V100 9000 SCT020 28/23 Q1019=",
"78256199999","2023-01-01T17:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0062,1","99999,9,9,N","009000,1,9,9","+0290,1","+0230,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 011750Z 06012KT 9000 SCT020 29/23 Q1018=",
"78256199999","2023-01-01T18:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,V,0062,1","99999,9,9,N","009000,1,9,9","+0280,1","+0230,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET059METAR MUCC 011850Z 07012KT 050V110 9000 SCT020 28/23 Q1018=",
"78256199999","2023-01-01T19:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0072,1","99999,9,9,N","009000,1,9,9","+0280,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10170,1,99999,9",,,,"MET051METAR MUCC 011950Z 07014KT 9000 SCT020 28/22 Q1017=",
"78256199999","2023-01-01T20:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0062,1","99999,9,9,N","009000,1,9,9","+0280,1","+0230,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10170,1,99999,9",,,,"MET051METAR MUCC 012050Z 07012KT 9000 SCT020 28/23 Q1017=",
"78256199999","2023-01-01T21:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0062,1","99999,9,9,N","009000,1,9,9","+0270,1","+0230,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 012150Z 06012KT 9000 SCT020 27/23 Q1018=",
"78256199999","2023-01-01T22:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","060,1,N,0057,1","99999,9,9,N","009000,1,9,9","+0260,1","+0230,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10180,1,99999,9",,,,"MET051METAR MUCC 012250Z 06011KT 9000 SCT020 26/23 Q1018=",
"78256199999","2023-01-01T23:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0051,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 012350Z 07010KT 9000 SCT020 25/22 Q1019=",
"78256199999","2023-01-02T00:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0057,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10190,1,99999,9",,,,"MET051METAR MUCC 020050Z 07011KT 9000 SCT020 25/22 Q1019=",
"78256199999","2023-01-02T01:50:00","4","22.460986","-78.328422","3.96","JARDINES DEL REY, CU","FM-15","99999","V020","070,1,N,0051,1","99999,9,9,N","009000,1,9,9","+0250,1","+0220,1","99999,9",,"04,1,+00610,1,99,9",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00610,1,99,9,99,9","10200,1,99999,9",,,,"MET051METAR MUCC 020150Z 07010KT 9000 SCT020 25/22 Q1020=",
