"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","REM","EQD"
"89272099999","2023-06-01T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0325,1","-0371,1","09841,1","99999,9,08061,1","2,1,004,1,+999,9","SYN05489272 46/// /0502 11325 21371 38061 49841 52004 91800=",
"89272099999","2023-06-01T21:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","999999,9,9,9","-0307,1","-0348,1","09832,1","99999,9,08064,1","2,1,003,1,+999,9","SYN05489272 46/// /9902 11307 21348 38064 49832 52003 92100=",
"89272099999","2023-06-02T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","030,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0296,1","-0335,1","09835,1","99999,9,08073,1","2,1,009,1,+999,9","SYN05489272 46/// /0303 11296 21335 38073 49835 52009 90000=",
"89272099999","2023-06-02T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","010,1,N,0015,1","99999,9,9,N","999999,9,9,9","-0252,1","-0284,1","09816,1","99999,9,08083,1","2,1,010,1,+999,9","SYN05489272 46/// /0103 11252 21284 38083 49816 52010 90300=",
"89272099999","2023-06-02T06:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","010,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0208,1","-0231,1","09792,1","99999,9,08088,1","2,1,005,1,+999,9","SYN05489272 46/// /0104 11208 21231 38088 49792 52005 90600=",
"89272099999","2023-06-02T12:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","010,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0215,1","-0240,1","09812,1","99999,9,08101,1",,"SYN05489272 46/// /0117 11215 21240 38101 49812 5//// 91200=",
"89272099999","2023-06-02T15:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","020,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0198,1","-0220,1","09803,1","99999,9,08103,1","2,1,002,1,+999,9","SYN05489272 46/// /0217 11198 21220 38103 49803 52002 91500=",
"89272099999","2023-06-02T18:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","010,1,N,0154,1","99999,9,9,N","999999,9,9,9","-0204,1","-0227,1","09780,1","99999,9,08081,1","7,1,022,1,+999,9","SYN05489272 46/// /0130 11204 21227 38081 49780 57022 91800=",
"89272099999","2023-06-02T21:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","360,1,N,0149,1","99999,9,9,N","999999,9,9,9","-0170,1","-0186,1","09754,1","99999,9,08078,1","7,1,003,1,+999,9","SYN05489272 46/// /3629 11170 21186 38078 49754 57003 92100=",
"89272099999","2023-06-03T00:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","020,1,N,0103,1","99999,9,9,N","999999,9,9,9","-0153,1","-0166,1","09761,1","99999,9,08093,1","2,1,015,1,+999,9","SYN05489272 46/// /0220 11153 21166 38093 49761 52015 90000=",
"89272099999","2023-06-03T03:00:00","4","-74.8","-71.4833333","1589.0","UNIVERSITY WI ID 8917 SKI BLU, AY","FM-12","99999","V020","010,1,N,0124,1","99999,9,9,N","999999,9,9,9","-0128,1","-0135,1","09736,1","99999,9,08085,1","7,1,008,1,+999,9","SYN05489272 46/// /0124 11128 21135 38085 49736 57008 90300=",
