"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","OC1","OD1","REM"
"08936099999","2023-11-14T01:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-11-14T06:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-11-14T07:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-11-14T12:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-11-19T05:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-11-28T18:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-12-05T00:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-12-06T17:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-12-09T19:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-12-22T20:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
"08936099999","2023-12-23T05:00:00","4","42.7","0.9666666","2467.0","CAP DE VAQUEIRA, SP","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,"SYN004BUFR"
