"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","REM"
"94406099999","2023-01-01T21:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10040,1","99999,9,09896,1",,"SYN03094406 46/// ///// 39896 40040="
"94406099999","2023-01-01T22:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10044,1","99999,9,09900,1","3,1,007,1,+999,9","SYN03694406 45/// ///// 39900 40044 53007="
"94406099999","2023-01-01T23:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10045,1","99999,9,09901,1",,"SYN03094406 46/// ///// 39901 40045="
"94406099999","2023-01-02T00:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10042,1","99999,9,09898,1",,"SYN03094406 46/// ///// 39898 40042="
"94406099999","2023-01-02T01:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10040,1","99999,9,09896,1","8,1,004,1,+999,9","SYN03694406 45/// ///// 39896 40040 58004="
"94406099999","2023-01-02T02:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10035,1","99999,9,09891,1",,"SYN03094406 46/// ///// 39891 40035="
"94406099999","2023-01-02T03:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10027,1","99999,9,09883,1",,"SYN03094406 46/// ///// 39883 40027="
"94406099999","2023-01-02T04:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10017,1","99999,9,09873,1","8,1,023,1,+999,9","SYN03694406 45/// ///// 39873 40017 58023="
"94406099999","2023-01-02T05:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10004,1","99999,9,09860,1",,"SYN03094406 46/// ///// 39860 40004="
"94406099999","2023-01-02T06:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09991,1","99999,9,09847,1",,"SYN03094406 46/// ///// 39847 49991="
"94406099999","2023-01-02T07:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09984,1","99999,9,09840,1","6,1,033,1,+999,9","SYN03694406 45/// ///// 39840 49984 56033="
"94406099999","2023-01-02T08:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09983,1","99999,9,09839,1",,"SYN03094406 46/// ///// 39839 49983="
"94406099999","2023-01-02T09:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09987,1","99999,9,09843,1",,"SYN03094406 46/// ///// 39843 49987="
"94406099999","2023-01-02T10:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09989,1","99999,9,09845,1","3,1,005,1,+999,9","SYN03694406 45/// ///// 39845 49989 53005="
"94406099999","2023-01-02T11:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09997,1","99999,9,09853,1",,"SYN03094406 46/// ///// 39853 49997="
"94406099999","2023-01-02T12:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10005,1","99999,9,09861,1",,"SYN03094406 46/// ///// 39861 40005="
"94406099999","2023-01-02T13:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10012,1","99999,9,09868,1","1,1,023,1,+999,9","SYN03694406 45/// ///// 39868 40012 51023="
"94406099999","2023-01-02T14:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10013,1","99999,9,09869,1",,"SYN03094406 46/// ///// 39869 40013="
"94406099999","2023-01-02T15:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10013,1","99999,9,09869,1",,"SYN03094406 46/// ///// 39869 40013="
"94406099999","2023-01-02T16:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10011,1","99999,9,09867,1","8,1,001,1,+999,9","SYN03694406 45/// ///// 39867 40011 58001="
"94406099999","2023-01-02T17:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10008,1","99999,9,09864,1",,"SYN03094406 46/// ///// 39864 40008="
"94406099999","2023-01-02T18:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10006,1","99999,9,09862,1",,"SYN03094406 46/// ///// 39862 40006="
"94406099999","2023-01-02T19:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10009,1","99999,9,09865,1","5,1,002,1,+999,9","SYN03694406 45/// ///// 39865 40009 55002="
"94406099999","2023-01-02T20:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10012,1","99999,9,09868,1",,"SYN03094406 46/// ///// 39868 40012="
"94406099999","2023-01-02T21:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10016,1","99999,9,09872,1",,"SYN03094406 46/// ///// 39872 40016="
"94406099999","2023-01-02T22:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10022,1","99999,9,09878,1","3,1,013,1,+999,9","SYN03694406 45/// ///// 39878 40022 53013="
"94406099999","2023-01-02T23:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10024,1","99999,9,09880,1",,"SYN03094406 46/// ///// 39880 40024="
"94406099999","2023-01-03T00:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10028,1","99999,9,09884,1",,"SYN03094406 46/// ///// 39884 40028="
"94406099999","2023-01-03T01:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10026,1","99999,9,09882,1","1,1,004,1,+999,9","SYN03694406 45/// ///// 39882 40026 51004="
"94406099999","2023-01-03T02:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10024,1","99999,9,09880,1",,"SYN03094406 46/// ///// 39880 40024="
"94406099999","2023-01-03T03:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10019,1","99999,9,09875,1",,"SYN03094406 46/// ///// 39875 40019="
"94406099999","2023-01-03T04:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10012,1","99999,9,09868,1","8,1,014,1,+999,9","SYN03694406 45/// ///// 39868 40012 58014="
"94406099999","2023-01-03T05:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10003,1","99999,9,09859,1",,"SYN03094406 46/// ///// 39859 40003="
"94406099999","2023-01-03T06:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09993,1","99999,9,09849,1",,"SYN03094406 46/// ///// 39849 49993="
"94406099999","2023-01-03T07:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09987,1","99999,9,09843,1","6,1,025,1,+999,9","SYN03694406 45/// ///// 39843 49987 56025="
"94406099999","2023-01-03T08:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09977,1","99999,9,09834,1",,"SYN03094406 46/// ///// 39834 49977="
"94406099999","2023-01-03T09:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09972,1","99999,9,09829,1",,"SYN03094406 46/// ///// 39829 49972="
"94406099999","2023-01-03T10:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09972,1","99999,9,09829,1","6,1,014,1,+999,9","SYN03694406 45/// ///// 39829 49972 56014="
"94406099999","2023-01-03T11:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09979,1","99999,9,09836,1",,"SYN03094406 46/// ///// 39836 49979="
"94406099999","2023-01-03T12:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09988,1","99999,9,09844,1",,"SYN03094406 46/// ///// 39844 49988="
"94406099999","2023-01-03T13:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","09996,1","99999,9,09852,1","3,1,023,1,+999,9","SYN03694406 45/// ///// 39852 49996 53023="
"94406099999","2023-01-03T14:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10003,1","99999,9,09859,1",,"SYN03094406 46/// ///// 39859 40003="
"94406099999","2023-01-03T15:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10007,1","99999,9,09863,1",,"SYN03094406 46/// ///// 39863 40007="
"94406099999","2023-01-03T16:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10007,1","99999,9,09863,1","1,1,011,1,+999,9","SYN03694406 45/// ///// 39863 40007 51011="
"94406099999","2023-01-03T17:00:00","4","-26.8166666","114.6166666","136.0","BILLABONG ASA, AS","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10007,1","99999,9,09863,1",,"SYN03094406 46/// ///// 39863 40007="
