"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM","EQD"
"99729099999","2023-07-19T22:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","200,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0246,1","+9999,9","10151,1","7,1,005,1,+999,9","5,99,0057,1,999","+245,1","SYN080BRHC3 46/// /2008 10246 40151 57005 92200 222// 00245 333 91211 555 11008 22009=",
"99729099999","2023-07-19T23:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","220,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0248,1","+9999,9","10149,1","7,1,005,1,+999,9","5,99,0041,1,999","+246,1","SYN080BRHC3 46/// /2206 10248 40149 57005 92300 222// 00246 333 91208 555 11006 22007=",
"99729099999","2023-07-20T00:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","210,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0246,1","+9999,9","10153,1","5,1,000,1,+999,9","5,99,0041,1,999","+249,1","SYN080BRHC3 46/// /2105 10246 40153 55000 90000 222// 00249 333 91208 555 11005 22006=",
"99729099999","2023-07-20T01:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","220,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0246,1","+9999,9","10159,1","3,1,008,1,+999,9","5,99,0036,1,999","+248,1","SYN080BRHC3 46/// /2205 10246 40159 53008 90100 222// 00248 333 91207 555 11005 22005=",
"99729099999","2023-07-20T02:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","210,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0242,1","+9999,9","10162,1","1,1,013,1,+999,9","5,99,0031,1,999","+246,1","SYN080BRHC3 46/// /2104 10242 40162 51013 90200 222// 00246 333 91206 555 11004 22004=",
"99729099999","2023-07-20T03:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","320,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0237,1","+9999,9","10163,1","1,1,010,1,+999,9","5,99,0015,1,999","+240,1","SYN080BRHC3 46/// /3203 10237 40163 51010 90300 222// 00240 333 91203 555 11003 22003=",
"99729099999","2023-07-20T04:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","190,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0234,1","+9999,9","10155,1","8,1,004,1,+999,9","5,99,0015,1,999","+238,1","SYN080BRHC3 46/// /1902 10234 40155 58004 90400 222// 00238 333 91203 555 11002 22003=",
"99729099999","2023-07-20T05:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0226,1","+9999,9","10159,1","5,1,003,1,+999,9","5,99,0015,1,999","+236,1","SYN080BRHC3 46/// /3503 10226 40159 55003 90500 222// 00236 333 91203 555 11003 22003=",
"99729099999","2023-07-20T06:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","340,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0222,1","+9999,9","10155,1","6,1,008,1,+999,9","5,99,0026,1,999","+237,1","SYN080BRHC3 46/// /3403 10222 40155 56008 90600 222// 00237 333 91205 555 11003 22004=",
"99729099999","2023-07-20T07:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0214,1","+9999,9","10152,1","8,1,003,1,+999,9","5,99,0021,1,999","+237,1","SYN080BRHC3 46/// /3503 10214 40152 58003 90700 222// 00237 333 91204 555 11003 22003=",
"99729099999","2023-07-20T08:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","350,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0216,1","+9999,9","10150,1","6,1,009,1,+999,9","5,99,0026,1,999","+241,1","SYN080BRHC3 46/// /3504 10216 40150 56009 90800 222// 00241 333 91205 555 11004 22004=",
"99729099999","2023-07-20T09:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","030,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0213,1","+9999,9","10151,1",,"5,99,0010,1,999","+242,1","SYN074BRHC3 46/// /0302 10213 40151 90836 222// 00242 333 91202 555 11002 22002=",
"99729099999","2023-07-20T10:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","020,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0206,1","+9999,9","10152,1","4,1,000,1,+999,9","5,99,0026,1,999","+247,1","SYN080BRHC3 46/// /0203 10206 40152 54000 91000 222// 00247 333 91205 555 11003 22004=",
"99729099999","2023-07-20T11:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","010,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0215,1","+9999,9","10155,1","3,1,005,1,+999,9","5,99,0031,1,999","+248,1","SYN080BRHC3 46/// /0104 10215 40155 53005 91100 222// 00248 333 91206 555 11004 22004=",
"99729099999","2023-07-20T12:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","020,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0234,1","+9999,9","10156,1","2,1,004,1,+999,9","5,99,0026,1,999","+246,1","SYN080BRHC3 46/// /0203 10234 40156 52004 91200 222// 00246 333 91205 555 11003 22003=",
"99729099999","2023-07-20T13:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","360,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0247,1","+9999,9","10157,1","1,1,005,1,+999,9","5,99,0031,1,999","+247,1","SYN080BRHC3 46/// /3604 10247 40157 51005 91300 222// 00247 333 91206 555 11004 22005=",
"99729099999","2023-07-20T14:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","080,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0263,1","+9999,9","10158,1","2,1,003,1,+999,9","5,99,0031,1,999","+244,1","SYN080BRHC3 46/// /0804 10263 40158 52003 91400 222// 00244 333 91206 555 11004 22004=",
"99729099999","2023-07-20T15:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","160,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0265,1","+9999,9","10155,1","9,9,000,1,+999,9","5,99,0041,1,999","+241,1","SYN080BRHC3 46/// /1605 10265 40155 50000 91500 222// 00241 333 91208 555 11006 22006=",
"99729099999","2023-07-20T16:00:00","4","41.17","-73.18","10.0","BRIDGEPORT, CT US","FM-13","99999","V020","140,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0269,1","+9999,9","10153,1","7,1,004,1,+999,9","5,99,0051,1,999","+237,1","SYN080BRHC3 46/// /1408 10269 40153 57004 91600 222// 00237 333 91210 555 11008 22009=",
